😀	विस्मयमानं मुखम्
🕵🏽‍♂	पुरुष जासूसः मध्यम त्वचास्वरः
🕵🏾‍♂️	पुरुष जासूसः मध्यम-गहरे त्वचास्वरः
🕵🏾‍♂	पुरुष जासूसः मध्यम-गहरे त्वचास्वरः
🕵🏿‍♂️	पुरुष जासूसः श्यामत्वक्स्वरः
🕵🏿‍♂	पुरुष जासूसः श्यामत्वक्स्वरः
🕵️‍♀️	महिला जासूस
🕵‍♀️	महिला जासूस
🕵️‍♀	महिला जासूस
🕵‍♀	महिला जासूस
🕵🏻‍♀️	महिला जासूसः हल्के त्वचास्वरः
🕵🏻‍♀	महिला जासूसः हल्के त्वचास्वरः
🕵🏼‍♀️	महिला जासूसः मध्यम-हल्का त्वचास्वरः
🕵🏼‍♀	महिला जासूसः मध्यम-हल्का त्वचास्वरः
🕵🏽‍♀️	महिला जासूसः मध्यमत्वक्स्वरः
🕵🏽‍♀	महिला जासूसः मध्यमत्वक्स्वरः
🕵🏾‍♀️	महिला जासूसः मध्यम-गहरे त्वचास्वरः
🕵🏾‍♀	महिला जासूसः मध्यम-गहरे त्वचास्वरः
🕵🏿‍♀️	महिला जासूसः श्यामत्वक्स्वरः
🕵🏿‍♀	महिला जासूसः श्यामत्वक्स्वरः
💂	रक्षक
💂🏻	रक्षकः लघुत्वक्स्वरः
💂🏼	रक्षकः मध्यम-हल्का त्वचास्वरः
💂🏽	रक्षकः मध्यमत्वक्स्वरः
💂🏾	रक्षकः मध्यम-कृष्णत्वक्-वर्णः
💂🏿	रक्षकः - कृष्णत्वक्स्वरः
💂‍♂️	मनुष्य रक्षकः
💂‍♂	मनुष्य रक्षकः
💂🏻‍♂️	man guard: हल्के त्वचास्वरः
💂🏻‍♂	man guard: हल्के त्वचास्वरः
💂🏼‍♂️	man guard: मध्यम-हल्के त्वचास्वरः
💂🏼‍♂	man guard: मध्यम-हल्के त्वचास्वरः
💂🏽‍♂️	मनुष्यरक्षकः मध्यमत्वक्स्वरः
💂🏽‍♂	मनुष्यरक्षकः मध्यमत्वक्स्वरः
💂🏾‍♂️	man guard: मध्यम-कृष्णत्वक्स्वरः
💂🏾‍♂	man guard: मध्यम-कृष्णत्वक्स्वरः
💂🏿‍♂️	man guard: कृष्णत्वक्स्वरः
💂🏿‍♂	man guard: कृष्णत्वक्स्वरः
💂‍♀️	स्त्री रक्षकः
💂‍♀	स्त्री रक्षकः
💂🏻‍♀️	woman guard: हल्के त्वचास्वरः
💂🏻‍♀	woman guard: हल्के त्वचास्वरः
💂🏼‍♀️	woman guard: मध्यम-हल्के त्वचास्वरः
💂🏼‍♀	woman guard: मध्यम-हल्के त्वचास्वरः
💂🏽‍♀️	स्त्री रक्षकः मध्यमत्वक्स्वरः
💂🏽‍♀	स्त्री रक्षकः मध्यमत्वक्स्वरः
💂🏾‍♀️	woman guard: मध्यम-कृष्णत्वक्स्वरः
💂🏾‍♀	woman guard: मध्यम-कृष्णत्वक्स्वरः
💂🏿‍♀️	woman guard: कृष्णत्वक्स्वरः
💂🏿‍♀	woman guard: कृष्णत्वक्स्वरः
👷	निर्माणकर्मी
👷🏻	निर्माणकर्मचारी : हल्के त्वचास्वरः
👷🏼	निर्माणकर्मचारी : मध्यम-हल्का त्वचास्वर
👷🏽	निर्माणकर्मचारिणः मध्यमत्वक्स्वरः
👷🏾	निर्माणकर्मचारी : मध्यम-गहरे त्वचास्वरः
👷🏿	निर्माणकर्मचारी : कृष्णत्वक्स्वरः
👷‍♂️	मनुष्य निर्माणकर्मी
👷‍♂	मनुष्य निर्माणकर्मी
👷🏻‍♂️	man construction worker: हल्के त्वचास्वरः
👷🏻‍♂	man construction worker: हल्के त्वचास्वरः
👷🏼‍♂️	पुरुषः निर्माणकर्मचारी : मध्यम-हल्का त्वचास्वरः
👷🏼‍♂	पुरुषः निर्माणकर्मचारी : मध्यम-हल्का त्वचास्वरः
👷🏽‍♂️	पुरुषः निर्माणकर्मचारिणः मध्यमत्वक्स्वरः
👷🏽‍♂	पुरुषः निर्माणकर्मचारिणः मध्यमत्वक्स्वरः
👷🏾‍♂️	man construction worker: मध्यम-कृष्णत्वक्स्वरः
👷🏾‍♂	man construction worker: मध्यम-कृष्णत्वक्स्वरः
👷🏿‍♂️	man construction worker: कृष्णवर्णीयत्वक्स्वरः
👷🏿‍♂	man construction worker: कृष्णवर्णीयत्वक्स्वरः
👷‍♀️	महिला निर्माणकर्मी
👷‍♀	महिला निर्माणकर्मी
👷🏻‍♀️	महिला निर्माणकार्यकर्ता : हल्के त्वचास्वरः
👷🏻‍♀	महिला निर्माणकार्यकर्ता : हल्के त्वचास्वरः
👷🏼‍♀️	महिला निर्माणकार्यकर्ता : मध्यम-हल्का त्वचास्वरः
👷🏼‍♀	महिला निर्माणकार्यकर्ता : मध्यम-हल्का त्वचास्वरः
👷🏽‍♀️	महिला निर्माणकर्मचारिणः मध्यमत्वक्स्वरः
