😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
👨🏽‍⚕	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍⚕️	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍⚕	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍⚕️	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍⚕	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩‍⚕️	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯊꯕꯛ ꯇꯧꯔꯤ꯫
👩‍⚕	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯊꯕꯛ ꯇꯧꯔꯤ꯫
👩🏻‍⚕️	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏻‍⚕	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍⚕️	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍⚕	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍⚕️	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍⚕	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍⚕️	ꯅꯨꯄꯤ ꯍꯦꯂꯊ ꯋꯥꯔꯀꯔ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍⚕	ꯅꯨꯄꯤ ꯍꯦꯂꯊ ꯋꯥꯔꯀꯔ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍⚕️	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏿‍⚕	ꯅꯨꯄꯤ ꯍꯦꯜꯊ ꯋꯥꯔꯀꯔ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍🎓	ꯃꯤꯑꯣꯏꯕꯥ ꯃꯍꯩꯔꯣꯌ꯫
👨🏻‍🎓	ꯃꯤꯑꯣꯏ ꯃꯍꯩꯔꯣꯌ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🎓	ꯅꯨꯄꯥ ꯃꯍꯩꯔꯣꯌ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🎓	ꯃꯤꯑꯣꯏ ꯃꯍꯩꯔꯣꯌ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍🎓	ꯅꯨꯄꯥ ꯃꯍꯩꯔꯣꯌ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🎓	man student: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍🎓	ꯅꯨꯄꯤ ꯃꯍꯩꯔꯣꯌ ꯑꯃꯥ꯫
👩🏻‍🎓	ꯅꯨꯄꯤ ꯃꯍꯩꯔꯣꯌ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🎓	ꯅꯨꯄꯤ ꯃꯍꯩꯔꯣꯌ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🎓	ꯅꯨꯄꯤ ꯃꯍꯩꯔꯣꯌ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍🎓	ꯅꯨꯄꯤ ꯃꯍꯩꯔꯣꯌ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🎓	ꯅꯨꯄꯤ ꯃꯍꯩꯔꯣꯌ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨‍🏫	ꯃꯤꯑꯣꯏꯕꯥ ꯑꯣꯖꯥ꯫
👨🏻‍🏫	ꯃꯤꯑꯣꯏꯕꯥ ꯑꯣꯖꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🏫	ꯃꯤꯑꯣꯏ ꯑꯣꯖꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🏫	ꯃꯤꯑꯣꯏ ꯑꯣꯖꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍🏫	ꯃꯤꯑꯣꯏ ꯑꯣꯖꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🏫	man teacher: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩‍🏫	ꯅꯨꯄꯤ ꯑꯣꯖꯥ꯫
👩🏻‍🏫	ꯅꯨꯄꯤ ꯑꯣꯖꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🏫	ꯅꯨꯄꯤ ꯑꯣꯖꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🏫	ꯅꯨꯄꯤ ꯑꯣꯖꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍🏫	ꯅꯨꯄꯤ ꯑꯣꯖꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🏫	ꯅꯨꯄꯤ ꯑꯣꯖꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍⚖️	ꯃꯤꯑꯣꯏꯕꯥ ꯖꯖ꯫
👨‍⚖	ꯃꯤꯑꯣꯏꯕꯥ ꯖꯖ꯫
👨🏻‍⚖️	man judge: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏻‍⚖	man judge: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍⚖️	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍⚖	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍⚖️	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍⚖	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍⚖️	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍⚖	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍⚖️	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍⚖	ꯃꯤꯑꯣꯏ ꯖꯖ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩‍⚖️	ꯅꯨꯄꯤ ꯖꯖ꯫
👩‍⚖	ꯅꯨꯄꯤ ꯖꯖ꯫
👩🏻‍⚖️	ꯅꯨꯄꯤ ꯖꯖ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏻‍⚖	ꯅꯨꯄꯤ ꯖꯖ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍⚖️	ꯅꯨꯄꯤ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍⚖	ꯅꯨꯄꯤ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍⚖️	ꯅꯨꯄꯤ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍⚖	ꯅꯨꯄꯤ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍⚖️	ꯅꯨꯄꯤ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍⚖	ꯅꯨꯄꯤ ꯖꯖ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍⚖️	ꯅꯨꯄꯤ ꯖꯖ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍⚖	ꯅꯨꯄꯤ ꯖꯖ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨‍🌾	ꯃꯤꯑꯣꯏ ꯂꯧꯃꯤ꯫
👨🏻‍🌾	man farmer: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🌾	man farmer: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🌾	ꯃꯤꯑꯣꯏ ꯂꯧꯃꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨🏾‍🌾	ꯃꯤꯑꯣꯏ ꯂꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🌾	man farmer: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍🌾	ꯅꯨꯄꯤ ꯂꯧꯃꯤ꯫
👩🏻‍🌾	ꯅꯨꯄꯤ ꯂꯧꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🌾	ꯅꯨꯄꯤ ꯂꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🌾	ꯅꯨꯄꯤ ꯂꯧꯃꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏾‍🌾	ꯅꯨꯄꯤ ꯂꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🌾	ꯅꯨꯄꯤ ꯂꯧꯃꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍🍳	ꯃꯤꯑꯣꯏꯕꯥ ꯆꯥꯛ ꯊꯣꯡꯕꯥ꯫
👨🏻‍🍳	man cook: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🍳	man cook: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🍳	man cook: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍🍳	man cook: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🍳	man cook: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩‍🍳	ꯅꯨꯄꯤ ꯆꯥꯛ ꯊꯣꯡꯕꯥ꯫
👩🏻‍🍳	ꯅꯨꯄꯤ ꯆꯥꯛ ꯊꯣꯡꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🍳	ꯅꯨꯄꯤ ꯆꯥꯛ ꯊꯣꯡꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🍳	ꯅꯨꯄꯤ ꯆꯥꯛ ꯊꯣꯡꯕꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏾‍🍳	ꯅꯨꯄꯤ ꯆꯥꯛ ꯊꯣꯡꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🍳	ꯅꯨꯄꯤ ꯆꯥꯛ ꯊꯣꯡꯕꯥ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍🔧	ꯃꯤꯑꯣꯏ ꯃꯦꯀꯥꯅꯤꯛ ꯑꯣꯏꯕꯥ꯫
👨🏻‍🔧	ꯃꯤꯑꯣꯏ ꯃꯦꯀꯥꯅꯤꯛ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🔧	ꯃꯤꯑꯣꯏ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🔧	ꯃꯤꯑꯣꯏ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍🔧	ꯃꯤꯑꯣꯏ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🔧	ꯃꯤꯑꯣꯏ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍🔧	ꯅꯨꯄꯤ ꯃꯦꯀꯥꯅꯤꯛ꯫
👩🏻‍🔧	ꯅꯨꯄꯤ ꯃꯦꯀꯥꯅꯤꯛ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🔧	ꯅꯨꯄꯤ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🔧	ꯅꯨꯄꯤ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏾‍🔧	ꯅꯨꯄꯤ ꯃꯦꯀꯥꯅꯤꯛ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🔧	ꯅꯨꯄꯤ ꯃꯦꯀꯥꯅꯤꯛ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍🏭	ꯃꯤꯑꯣꯏ ꯑꯃꯥ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ꯫
👨🏻‍🏭	ꯃꯤꯑꯣꯏ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🏭	ꯃꯤꯑꯣꯏ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🏭	ꯃꯤꯑꯣꯏ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍🏭	ꯃꯤꯑꯣꯏ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🏭	ꯃꯤꯑꯣꯏ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍🏭	ꯅꯨꯄꯤ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ꯫
👩🏻‍🏭	ꯅꯨꯄꯤ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🏭	ꯅꯨꯄꯤ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🏭	ꯅꯨꯄꯤ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍🏭	ꯅꯨꯄꯤ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🏭	ꯅꯨꯄꯤ ꯐꯦꯛꯇꯔꯤꯒꯤ ꯁꯤꯟꯃꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍💼	ꯃꯤꯑꯣꯏ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ꯫
👨🏻‍💼	ꯃꯤꯑꯣꯏ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍💼	ꯃꯤꯑꯣꯏ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍💼	ꯃꯤꯑꯣꯏ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍💼	ꯃꯤꯑꯣꯏ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍💼	ꯃꯤꯑꯣꯏ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍💼	ꯅꯨꯄꯤ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ꯫
👩🏻‍💼	ꯅꯨꯄꯤ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍💼	ꯅꯨꯄꯤ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍💼	ꯅꯨꯄꯤ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍💼	ꯅꯨꯄꯤ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍💼	ꯅꯨꯄꯤ ꯑꯣꯐꯤꯁꯀꯤ ꯁꯤꯟꯃꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍🔬	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ꯫
👨🏻‍🔬	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍🔬	ꯃꯤꯑꯣꯏ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍🔬	ꯃꯤꯑꯣꯏ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍🔬	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿‍🔬	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍🔬	ꯅꯨꯄꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ꯫
👩🏻‍🔬	ꯅꯨꯄꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🔬	ꯅꯨꯄꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🔬	ꯅꯨꯄꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏾‍🔬	ꯅꯨꯄꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿‍🔬	ꯅꯨꯄꯤ ꯁꯥꯏꯟꯇꯤꯁ꯭ꯠ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍💻	ꯃꯤꯑꯣꯏ ꯇꯦꯛꯅꯣꯂꯣꯖꯤꯒꯤ ꯃꯤꯑꯣꯏ꯫
👨🏻‍💻	man technologist: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍💻	man technologist: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍💻	man technologist: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾‍💻	man technologist: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
