😀	aghaidh grinning
👂🏾	cluas: ton craiceann meán-dorcha
👂🏿	cluas: ton dorcha craicinn
👃	srón
👃🏻	srón: ton craicinn éadrom
👃🏼	srón: ton craiceann meánach
👃🏽	srón: ton craiceann meánach
👃🏾	srón: ton craiceann meán-dorcha
👃🏿	srón: ton craiceann dorcha
🦰	rua-ruadh
🦱	curly-haired
🦲	maol
🦳	bán-ghruaig
👣	lorganna
👀	súile
👁️	súl
👁	súl
👁️‍🗨️	súl i mboilgeog cainte
👁‍🗨️	súl i mboilgeog cainte
👁️‍🗨	súl i mboilgeog cainte
👁‍🗨	súl i mboilgeog cainte
🧠	inchinn
🦴	cnámh
🦷	fiacail
👅	teanga
👄	béal
💋	marc póg
💘	croí le saighead
❤️	croí dearg
❤	croí dearg
💓	ag bualadh croí
💔	croí briste
💕	dhá chroí
💖	croí súilíneach
💗	croí ag fás
💙	croí gorm
💚	croí glas
💛	croí buí
🧡	croí oráiste
💜	croí corcra
🖤	croí dubh
💝	croí le ribín
💞	croíthe imrothlacha
💟	maisiú croí
❣️	exclamation croí trom
❣	exclamation croí trom
💌	litir Grá
💤	zzz
💢	siombail feirge
💣	buama
💥	imbhualadh
💦	braoiníní allais
💨	ag rith ar shiúl
💫	dizzy
💬	balún cainte
🗨️	mboilgeog cainte ar chlé
🗨	mboilgeog cainte ar chlé
🗯️	mboilgeog fearg ceart
🗯	mboilgeog fearg ceart
💭	balún smaoinimh
🕳️	poll
🕳	poll
👓	spéaclaí
🕶️	Spéaclaí gréine
🕶	Spéaclaí gréine
🥽	gloiní cosanta
🥼	cóta saotharlainne
👔	muince
👕	t-léine
👖	jeans
🧣	scairf
🧤	lámhainní
🧥	cóta
🧦	stocaí
👗	gúna
👘	cimono
👙	bicíní
👚	éadaí mná
👛	sparán
👜	mála láimhe
👝	mála clutch
🛍️	málaí siopadóireachta
🛍	málaí siopadóireachta
🎒	mála droma scoile
👞	bróg fhir
👟	bróg reatha
🥾	tosaithe hiking
🥿	bróg árasán mná
👠	bróg ard-sála
👡	sandal mná
👢	buataisí mná
👑	choróin
👒	hata mná
🎩	hata barr
🎓	caipín céime
🧢	caipín bille
⛑️	clogad oibrí tarrthála
⛑	clogad oibrí tarrthála
📿	coirníní paidir
💄	lipstick
💍	fáinne
💎	cloch gheam
🐵	aghaidh moncaí
🐒	moncaí
🦍	goirille
🐶	aghaidh madra
🐕	madra
🐩	poodle
🐺	aghaidh mac tíre
🦊	aghaidh sionnach
🦝	racún
🐱	aghaidh cat
🐈	cat
🦁	aghaidh leon
🐯	aghaidh tíogair
🐅	Tíogair
🐆	liopard
🐴	aghaidh capall
🐎	capall
🦄	aghaidh aonbheannaigh
🦓	séabra
🦌	fianna
🐮	aghaidh bó
🐂	daimh
🐃	buabhall uisce
🐄	bó
🐷	aghaidh muice
🐖	muc
🐗	torc
🐽	srón muice
🐏	Ram
🐑	caora
🐐	gabhar
🐪	camall
🐫	camel dhá chromán
🦙	láma
🦒	sioráf
🐘	eilifint
🦏	srónbheannach
🦛	hippopotamus
🐭	aghaidh luiche
🐁	luchóg
🐀	francach
🐹	aghaidh hamster
🐰	aghaidh coinín
🐇	coinín
🐿️	chipmunk
🐿	chipmunk
🦔	gráinneog
🦇	ialtóg
🐻	aghaidh bear
🐨	cóla
🐼	aghaidh panda
🦘	cangarú
🦡	broc
🐾	priontaí cos
🦃	turcaí
🐔	sicín
🐓	rocach
🐣	goir chick
🐤	sicín leanbh
🐥	chick leanbh atá os comhair tosaigh
🐦	éan
🐧	piongain
🕊️	colm
🕊	colm
🦅	iolair
🦆	lacha
🦢	eala
🦉	ulchabhán
🦚	péacóg
🦜	parrot
🐸	aghaidh frog
🐊	crogall
🐢	turtar
🦎	laghairt
🐍	nathair
🐲	aghaidh dragan
🐉	dragan
🦕	sauropod
🦖	T-Rex
🐳	míol mór spouting
🐋	míol mór
🐬	Deilf
🐟	iasc
🐠	iasc trópaiceach
🐡	séideadh
🦈	siorc
🐙	ochtapas
🐚	sliogán bíseach
🦀	portán
🦞	gliomach
🦐	ribí róibéis
🦑	squid
🐌	seilide
🦋	féileacán
🐛	fabht
🐜	seangÚn
🐝	BEACH mheala
🐞	ciaróg bhean
🦗	cruicéad
🕷️	damhán alla
🕷	damhán alla
🕸️	líon damháin alla
🕸	líon damháin alla
🦂	scairp
🦟	mosquito
🦠	miocrób
💐	bouquet
🌸	bláth silíní
💮	bláth bán
🏵️	rósait
🏵	rósait
🌹	rós
🥀	bláth wilted
🌺	hibiscus
🌻	lus na gréine
🌼	bhláth
🌷	tiúilipe
🌱	síológ
🌲	crann síorghlas
🌳	crann duillsilteach
🌴	crann pailme
🌵	cactus
🌾	scairt ríse
🌿	luibh
☘️	seamróg
☘	seamróg
🍀	seamair ceithre dhuilleog
🍁	duilleog mhailpe
🍂	duilleog tar éis titim
🍃	duilleog ag sileadh sa ghaoth
🍇	fíonchaora
🍈	melon
🍉	watermelon
🍊	tangerín
🍋	líomóide
🍌	banana
🍍	anann
🥭	mango
🍎	úll dearg
🍏	úll glas
🍐	piorra
🍑	péitseog
🍒	silíní
🍓	sú talún
🥝	torthaí kiwi
🍅	tráta
🥥	cnó cócó
🥑	avocado
🍆	ubhthoradh
🥔	prátaí
🥕	cairéad
🌽	cluas arbhair
🌶️	piobar te
🌶	piobar te
🥒	cúcamar
🥬	glas duilleogach
🥦	brocailí
🍄	beacán
🥜	peanuts
🌰	castán
🍞	arán
🥐	croissant
🥖	arán baguette
🥨	pretzel
🥯	bagail
🥞	pancóga
🧀	ding cáise
🍖	feoil ar chnámh
🍗	cos éanlaithe
🥩	gearrtha feola
🥓	bagún
🍔	hamburger
🍟	sceallóga
🍕	píotsa
🌭	madra te
🥪	ceapaire
🌮	taco
🌯	burrito
🥙	flatbread stuffed
🥚	ubh
🍳	ag cócaireacht
🥘	pan éadomhain bia
🍲	pota bia
🥣	babhla le spúnóg
🥗	Sailéad glas
🍿	grán rósta
🧂	salann
🥫	bia stánaithe
🍱	bosca bento
🍘	scáinteoir ríse
🍙	liathróid ríse
🍚	rís bruite
🍛	rís curaí
🍜	babhla gaile
🍝	spaghetti
🍠	práta milis rósta
🍢	oden
🍣	sushi
🍤	ribí róibéis friochta
🍥	císte éisc le guairneán
🥮	císte gealach
🍡	dango
🥟	dumpling
🥠	fianán fhortún
🥡	bosca takeout
🍦	uachtar reoite bog
🍧	oighear bearrtha
🍨	uachtar reoite
🍩	taoschnó
🍪	fianán
🎂	cáca lá breithe
🍰	shortcake
🧁	cupcake
🥧	pióg
🍫	barra seacláide
🍬	candy
🍭	líreacáin
🍮	custard
🍯	pota meala
🍼	buidéal leanbh
🥛	gloine bainne
☕	deoch te
🍵	teacup gan láimhseáil
🍶	ar mhaithe
🍾	buidéal le corc popping
🍷	gloine fíona
🍸	gloine choileach
🍹	deoch trópaiceach
🍺	muga beoir
🍻	mugaí beorach clinking
🥂	gloiní clingeadh
🥃	gloine tumbler
🥤	cupán le tuí
🥢	chopsticks
🍽️	forc agus scian le pláta
🍽	forc agus scian le pláta
🍴	forc agus scian
🥄	spúnóg
🔪	scian cistine
🏺	amphora
🌍	cruinne ag taispeáint Eoraip-Afraic
🌎	cruinne ag taispeáint Mheiriceá
🌏	cruinne ag taispeáint Áise-Astráil
🌐	cruinne le fadlínte
🗺️	léarscáil an domhain
🗺	léarscáil an domhain
🗾	léarscáil na Seapáine
🧭	compás
🏔️	sliabh le caipín sneachta
🏔	sliabh le caipín sneachta
⛰️	sliabh
⛰	sliabh
🌋	bolcán
🗻	mount fuji
🏕️	campála
🏕	campála
🏖️	trá le scáth fearthainne
🏖	trá le scáth fearthainne
🏜️	fásach
🏜	fásach
🏝️	oileán fásaigh
🏝	oileán fásaigh
🏞️	Páirc Naisiúnta
🏞	Páirc Naisiúnta
🏟️	staidiam
🏟	staidiam
🏛️	foirgneamh clasaiceach
🏛	foirgneamh clasaiceach
🏗️	tógáil foirgneamh
🏗	tógáil foirgneamh
🧱	brící
🏘️	tithe
🏘	tithe
🏚️	teach tréigthe
🏚	teach tréigthe
🏠	teach
🏡	teach le gairdín
🏢	foirgneamh oifige
🏣	oifig phoist na Seapáine
🏤	Oifig an Phoist
🏥	ospidéal
🏦	bainc
🏨	Óstán
🏩	óstán grá
🏪	siopa áise
🏫	scoil
🏬	siopa
🏭	monarcha
🏯	caisleán Seapánach
🏰	caisleán
💒	bainise
🗼	Tóiceo túr
🗽	Dealbh na Saoirse
⛪	eaglais
🕌	mosc
🕍	tsionagóg
⛩️	scrín shinto
⛩	scrín shinto
🕋	cába
⛲	tobair
⛺	puball
🌁	ceo
🌃	oíche le réaltaí
🏙️	cathairdhreach
🏙	cathairdhreach
🌄	éirí gréine thar sléibhte
🌅	éirí gréine
🌆	dreach na cathrach ag dusk
🌇	luí na gréine
🌉	droichead san oíche
♨️	spriongaí te
♨	spriongaí te
🌌	Bealach na Bó Finne
🎠	capall timpealláin
🎡	roth carnabhail
🎢	coaster sorcóir
💈	cuaille bearbóra
🎪	puball sorcais
🚂	locomotive
🚃	carr iarnróid
🚄	traein ardluais
🚅	traein piléar
🚆	traein
🚇	meitreo
🚈	iarnród éadrom
🚉	stáisiún
🚊	tram
🚝	monarail
🚞	iarnród sléibhe
🚋	carr tram
🚌	bus
🚍	bus ag teacht
🚎	tralaí
🚐	mionbhus
🚑	otharcharr
🚒	inneall dóiteáin
🚓	carr póilíní
🚔	carr póilíní ag teacht isteach
🚕	tacsaí
🚖	tacsaí ag teacht isteach
🚗	gluaisteán
🚘	gluaisteán ag teacht isteach
🚙	feithicle fóntais spóirt
🚚	trucail seachadta
🚛	leoraí altach
🚜	tarracóir
🚲	rothar
🛴	scútar ciceáil
🛹	clár scátála
🛵	scútar mótair
🚏	stad an bhus
🛣️	mótarbhealach
🛣	mótarbhealach
🛤️	rian iarnróid
🛤	rian iarnróid
🛢️	druma ola
🛢	druma ola
⛽	caidéal breosla
🚨	Solas carr póilíní
🚥	solas tráchta cothrománach
🚦	solas tráchta ingearach
🛑	comhartha stad
🚧	tógála
⚓	ancaire
⛵	bád seoil
🛶	canú
🚤	luasbhád
🛳️	long paisinéirí
🛳	long paisinéirí
⛴️	farantóireachta
⛴	farantóireachta
🛥️	bád mótair
🛥	bád mótair
🚢	long
✈️	eitleán
✈	eitleán
🛩️	eitleán beag
🛩	eitleán beag
🛫	imeacht eitleáin
🛬	teacht eitleáin
💺	suíochán
🚁	héileacaptar
🚟	iarnród fionraí
🚠	cáblabhealach sléibhe
🚡	trambhealach aerga
🛰️	satailíte
🛰	satailíte
🚀	roicéad
🛸	saucer ag eitilt
🛎️	clog bellhop
🛎	clog bellhop
🧳	bagáiste
⌛	hourglass déanta
⏳	hourglass nach bhfuil déanta
⌚	faire
⏰	clog aláraim
⏱️	stopuaireadóir
⏱	stopuaireadóir
⏲️	clog ama
⏲	clog ama
🕰️	clog mantelpiece
🕰	clog mantelpiece
🕛	a dó dhéag a chlog
🕧	dó dhéag is tríocha
🕐	a haon a chlog
🕜	aon triochad
🕑	a Dó a'chlog
🕝	dhá-thríocha
🕒	trí a chlog
🕞	trí fichid
🕓	a Ceathair a chlog
🕟	ceithre fichid
🕔	cúig a chlog
🕠	cúig is tríocha
🕕	sé a chlog
🕡	leathuair tar éis a sé
🕖	seacht a chlog
🕢	seacht tríochad
🕗	a hocht a chlog
🕣	leathuair tar éis a hocht
🕘	naoi a chlog
🕤	naoi tríochad
🕙	deich a chlog
🕥	deichniúr
🕚	a haon déag a chlog
🕦	a haon déag is tríocha
🌑	Gealach nua
🌒	gealach corrán céirithe
🌓	gealach chéad ráithe
🌔	gealach gibbous waxing
🌕	Gealach Lán
🌖	gealach gibbous wan
🌗	gealach ráithe deiridh
🌘	gealach corráin ag dul i laghad
🌙	gealach corráin
🌚	aghaidh gealach nua
🌛	aghaidh ghealach chéad ráithe
🌜	aghaidh na gealaí ceathrú deiridh
🌡️	teirmiméadar
🌡	teirmiméadar
☀️	ghrian
☀	ghrian
🌝	aghaidh ghealach lán
🌞	ghrian le aghaidh
⭐	réalt
🌟	réalta ghleoite
🌠	réalta reatha
☁️	scamall
☁	scamall
⛅	ghrian taobh thiar de scamall
⛈️	scamall le tintreach agus báisteach
⛈	scamall le tintreach agus báisteach
🌤️	ghrian taobh thiar de scamall lúide
🌤	ghrian taobh thiar de scamall lúide
🌥️	ghrian taobh thiar de scamall mór
🌥	ghrian taobh thiar de scamall mór
🌦️	ghrian taobh thiar de scamall báistí
🌦	ghrian taobh thiar de scamall báistí
🌧️	scamall le báisteach
🌧	scamall le báisteach
🌨️	scamall le sneachta
🌨	scamall le sneachta
🌩️	scamall le tintreach
🌩	scamall le tintreach
🌪️	tornado
🌪	tornado
🌫️	ceo
🌫	ceo
🌬️	aghaidh gaoithe
🌬	aghaidh gaoithe
🌀	cioclón
🌈	tuar ceatha
🌂	scáth dúnta
☂️	scáth fearthainne
☂	scáth fearthainne
☔	scáth fearthainne le braon báistí
⛱️	scáth fearthainne ar talamh
⛱	scáth fearthainne ar talamh
⚡	ardvoltais
❄️	gcáithnínísneachta
❄	gcáithnínísneachta
☃️	fear sneachta
☃	fear sneachta
⛄	fear sneachta gan sneachta
☄️	cóiméad
☄	cóiméad
🔥	tine
💧	braoinín
🌊	tonn uisce
🎃	Seán na gealaí
🎄	Crann nollaig
🎆	tinte ealaíne
🎇	spréachaire
🧨	dóiteán
✨	sparkles
🎈	balún
🎉	popper cóisir
🎊	liathróid confetti
🎋	crann tanabata
🎍	maisiúchán péine
🎎	bábóg Seapánach
🎏	sruthaire carpán
🎐	cling gaoithe
🎑	searmanas féachana gealach
🧧	clúdach dearg
🎀	ribín
🎁	bronntanas fillte
🎗️	ribín meabhrúcháin
🎗	ribín meabhrúcháin
🎟️	ticéid iontrála
🎟	ticéid iontrála
🎫	ticéad
🎖️	bonn míleata
🎖	bonn míleata
🏆	trófaí
🏅	bonn spóirt
🥇	Bonn 1ú áit
🥈	Bonn 2ú háit
🥉	Bonn 3ú háit
⚽	liathróid sacair
⚾	baseball
🥎	liathróid bog
🏀	cispheil
🏐	eitpheil
🏈	peil Mheiriceánach
🏉	peil rugbaí
🎾	Leadóg
🥏	diosca eitilte
🎳	babhláil
🏏	cluiche cruicéid
🏑	haca páirce
🏒	haca oighir
🥍	lacrós
🏓	Leadóg bhoird
🏸	badmantan
🥊	lámhainn dornálaíochta
🥋	éide ealaíon martial
🥅	glan sprioc
⛳	bratach i bpoll
⛸️	scátála oighir
⛸	scátála oighir
🎣	slat iascaigh
🎽	léine reatha
🎿	scíonna
🛷	sled
🥌	cloch tlú
🎯	buailte díreach
🎱	linn snámha 8 liathróid
🔮	liathróid criostail
🧿	amulet nazar
🎮	físchluiche
🕹️	luamhán stiúrtha
🕹	luamhán stiúrtha
🎰	meaisín sliotán
🎲	bás cluiche
🧩	mearaí
🧸	teidí
♠️	culaith spád
♠	culaith spád
♥️	culaith chroí
♥	culaith chroí
♦️	culaith diamaint
♦	culaith diamaint
♣️	culaith chlub
♣	culaith chlub
♟️	saighdiúir fichille
♟	saighdiúir fichille
🃏	magadh
🀄	Dragon dearg mahjong
🎴	cártaí imeartha bláthanna
🎭	taibh-ealaíona
🖼️	pictiúr frámaithe
🖼	pictiúr frámaithe
🎨	pailéad ealaíontóir
🧵	snáithe
🧶	snáth
🔇	cainteoir balbh
🔈	toirt íseal cainteoir
🔉	cainteoir toirt mheán
🔊	toirt ard cainteoir
📢	callaire
📣	meigeafón
📯	adharc poist
🔔	clog
🔕	clog le slais
🎼	scór ceoil
🎵	nóta ceoil
🎶	nótaí ceoil
🎙️	micreafón stiúideo
🎙	micreafón stiúideo
🎚️	sleamhnán leibhéal
🎚	sleamhnán leibhéal
🎛️	snaidhmeanna rialaithe
🎛	snaidhmeanna rialaithe
🎤	micreafón
🎧	cluasán
📻	raidió
🎷	sacsafón
🎸	giotár
🎹	méarchlár ceoil
🎺	trumpa
🎻	veidhlín
🥁	druma
📱	Fón póca
📲	fón póca le saighead
☎️	teileafón
☎	teileafón
📞	glacadóir teileafóin
📟	glaoire
📠	meaisín facs
🔋	ceallraí
🔌	breiseán leictreach
💻	ríomhaire glúine
🖥️	ríomhaire deisce
🖥	ríomhaire deisce
🖨️	printéir
🖨	printéir
⌨️	méarchlár
⌨	méarchlár
🖱️	luch ríomhaire
🖱	luch ríomhaire
🖲️	liathróid rian
🖲	liathróid rian
💽	diosca ríomhaire
💾	diosca bog
💿	diosca optúil
📀	dvd
🧮	abacus
🎥	ceamara scannán
🎞️	frámaí scannán
🎞	frámaí scannán
📽️	teilgeoir scannán
📽	teilgeoir scannán
🎬	bord clapper
📺	Teilifís
📷	ceamara
📸	ceamara le flash
📹	ceamara físe
📼	físchaiséad
🔍	gloine formhéadúcháin claonta ar chlé
🔎	gloine formhéadúcháin tilted ar dheis
🕯️	coinneal
🕯	coinneal
💡	bolgán solais
🔦	flashlight
🏮	lantern páipéar dearg
📔	leabhar nótaí le clúdach maisiúil
📕	leabhar dúnta
📖	leabhar oscailte
📗	leabhar glas
📘	leabhar gorm
📙	leabhar oráiste
📚	leabhair
📓	leabhar nótaí
📒	mórleabhar
📃	leathanach le curl
📜	scrollaigh
📄	leathanach os comhair suas
📰	nuachtán
🗞️	nuachtán rollta suas
🗞	nuachtán rollta suas
📑	cluaisíní leabharmharc
🔖	leabharmharc
🏷️	lipéad
🏷	lipéad
💰	mála airgid
💴	nóta bainc yen
💵	nóta bainc dollar
💶	nóta bainc euro
💷	nóta bainc punt
💸	airgead le sciatháin
💳	cárta creidmheasa
🧾	admháil
💹	chairt ag méadú le yen
💱	malartú airgeadra
💲	comhartha dollar trom
✉️	clúdach litreach
✉	clúdach litreach
📧	r-phost
📨	clúdach ag teacht isteach
📩	clúdach le saighead
📤	tráidire bosca amach
📥	tráidire bosca isteach
📦	pacáiste
📫	bosca poist dúnta le bratach ardaithe
📪	bosca poist dúnta le bratach íslithe
📬	bosca poist oscailte le bratach ardaithe
📭	bosca poist oscailte le bratach íslithe
📮	bosca poist
🗳️	bosca ballóide le ballóide
🗳	bosca ballóide le ballóide
✏️	peann luaidhe
✏	peann luaidhe
✒️	nib dubh
✒	nib dubh
🖋️	peann tobair
🖋	peann tobair
🖊️	peann
🖊	peann
🖌️	scuab péinte
🖌	scuab péinte
🖍️	crián
🖍	crián
📝	meamram
💼	mháipéir
📁	fillteán comhaid
📂	fillteán comhad a oscailt
🗂️	roinnteoirí innéacs cártaí
🗂	roinnteoirí innéacs cártaí
📅	féilire
📆	cuimilt-uaire féilire
🗒️	leabhar nótaí bíseach
🗒	leabhar nótaí bíseach
🗓️	féilire bíseach
🗓	féilire bíseach
📇	innéacs cártaí
📈	chairt ag méadú
📉	chairt ag laghdú
📊	barra-chairt
📋	gearrthaisce
📌	piocadh
📍	pushpin bhabhta
📎	fáiscín páipéar
🖇️	fáiscíní páipéir nasctha
🖇	fáiscíní páipéir nasctha
📏	rialóir díreach
📐	rialóir triantánach
✂️	siosúr
✂	siosúr
🗃️	bosca comhaid cárta
🗃	bosca comhaid cárta
🗄️	comh-aireachta comhad
🗄	comh-aireachta comhad
🗑️	ciseán dramhaíola
🗑	ciseán dramhaíola
🔒	faoi ghlas
🔓	díghlasáilte
🔏	faoi ghlas le peann
🔐	faoi ghlas le heochair
🔑	eochair
🗝️	sean eochair
🗝	sean eochair
🔨	casúr
⛏️	pioc
⛏	pioc
⚒️	casúr agus pioc
⚒	casúr agus pioc
🛠️	casúr agus eochair
🛠	casúr agus eochair
🗡️	miodóg
🗡	miodóg
⚔️	claimhte thrasnaigh
⚔	claimhte thrasnaigh
🔫	piostal
🏹	bogha agus saighead
🛡️	sciath
🛡	sciath
🔧	eochair
🔩	cnó agus bolt
⚙️	fearas
⚙	fearas
🗜️	clampar
🗜	clampar
⚖️	scála comhardaithe
⚖	scála comhardaithe
🔗	nasc
⛓️	slabhraí
⛓	slabhraí
🧰	bosca uirlisí
🧲	maighnéad
⚗️	alembic
⚗	alembic
🧪	promhadán
🧫	mhias petri
🧬	dna
🔬	micreascóp
🔭	teileascóip
📡	antenna satailíte
💉	steallaire
💊	pillín
🚪	doras
🛏️	leaba
🛏	leaba
🛋️	tolg agus lampa
🛋	tolg agus lampa
🚽	leithreas
🚿	cith
🛁	bathtub
🧴	buidéal lotion
🧷	bioráin sábháilteachta
🧹	brollach
🧺	ciseán
🧻	rolla páipéir
🧼	gallúnach
🧽	spúinse
🧯	múchtóir tine
🛒	Cart siopadóireacht
🚬	toitín
⚰️	cónra
⚰	cónra
⚱️	urn sochraide
⚱	urn sochraide
🗿	móai
🏧	Comhartha ATM
🚮	comhartha bruscair sa bhosca bruscair
🚰	uisce inólta
♿	siombail an chathaoir rothaí
🚹	seomra fir
🚺	seomra na mban
🚻	seomra suaimhnis
🚼	siombail leanbh
🚾	leithreas
🛂	rialú pas
🛃	custaim
🛄	Éileamh bagáiste
🛅	bagáiste fágtha
⚠️	rabhadh
⚠	rabhadh
🚸	leanaí ag trasnú
⛔	gan aon iontráil
🚫	toirmiscthe
🚳	gan rothair
🚭	gan tobac a chaitheamh
🚯	gan bruscar a chaitheamh
🚱	uisce neamh-inólta
🚷	gan coisithe
📵	gan fón póca
🔞	aon duine faoi ocht mbliana déag
☢️	radaighníomhach
☢	radaighníomhach
☣️	bithghuais
☣	bithghuais
⬆️	saighead suas
⬆	saighead suas
↗️	saighead suas-dheis
↗	saighead suas-dheis
➡️	saighead dheas
➡	saighead dheas
↘️	saighead síos-dheis
↘	saighead síos-dheis
⬇️	saighead síos
⬇	saighead síos
↙️	saighead síos-chlé
↙	saighead síos-chlé
⬅️	saighead chlé
⬅	saighead chlé
↖️	saighead suas-chlé
↖	saighead suas-chlé
↕️	saighead suas-síos
↕	saighead suas-síos
↔️	saighead chlé-dheis
↔	saighead chlé-dheis
↩️	arrow ceart curving chlé
↩	arrow ceart curving chlé
↪️	arrow chlé cuaire ar dheis
↪	arrow chlé cuaire ar dheis
⤴️	arrow ceart curving suas
⤴	arrow ceart curving suas
⤵️	arrow ceart curving síos
⤵	arrow ceart curving síos
🔃	saigheada ingearach deiseal
🔄	cnaipe saigheada tuathalach
🔙	saighead SIAR
🔚	CRÍOCH saighead
🔛	AR arrow
🔜	SOON arrow
🔝	Saighead BARR
🛐	áit adhartha
⚛️	siombail adaimh
⚛	siombail adaimh
🕉️	om
🕉	om
✡️	réalta David
✡	réalta David
☸️	roth dharma
☸	roth dharma
☯️	ceann yang
☯	ceann yang
✝️	crois Laidineach
✝	crois Laidineach
☦️	tras orthodox
☦	tras orthodox
☪️	réalta agus corrán
☪	réalta agus corrán
☮️	siombail na síochána
☮	siombail na síochána
🕎	menorah
🔯	dotted six-pointed star
♈	Aries
♉	Tarbh
♊	Cúpla
♋	Ailse
♌	Leo
♍	Mhaighdean
♎	Mheá
♏	Scairp
♐	Saighdeoir
♑	Gabhar
♒	tUisceadóir
♓	hÉisc
⛎	Ophiuchus
🔀	cnaipe rianta suaitheadh
🔁	cnaipe athuair
🔂	cnaipe amháin arís
▶️	cnaipe súgartha
▶	cnaipe súgartha
⏩	cnaipe tapa ar aghaidh
⏭️	cnaipe rian eile
⏭	cnaipe rian eile
⏯️	cnaipe súgartha nó sos
⏯	cnaipe súgartha nó sos
◀️	cnaipe droim ar ais
◀	cnaipe droim ar ais
⏪	cnaipe droim ar ais go tapa
⏮️	cnaipe rian deiridh
⏮	cnaipe rian deiridh
🔼	cnaipe aníos
⏫	tapa suas cnaipe
🔽	cnaipe anuas
⏬	cnaipe síos go tapa
⏸️	cnaipe sos
⏸	cnaipe sos
⏹️	cnaipe stad
⏹	cnaipe stad
⏺️	cnaipe taifead
⏺	cnaipe taifead
⏏️	cnaipe scaoil amach
⏏	cnaipe scaoil amach
🎦	phictiúrlann
🔅	cnaipe dim
🔆	cnaipe geal
📶	barraí antenna
📳	modh creathadh
📴	fón póca as
♀️	comhartha baineann
♀	comhartha baineann
♂️	comhartha fireann
♂	comhartha fireann
⚕️	siombail leighis
⚕	siombail leighis
♾️	éigríoch
♾	éigríoch
♻️	siombail athchúrsála
♻	siombail athchúrsála
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	feathal trident
📛	suaitheantas ainm
🔰	Comhartha Seapáinis do thosaitheoirí
⭕	ciorcal mór trom
✅	marc seiceála trom bán
☑️	bosca ballóide le seic
☑	bosca ballóide le seic
✔️	marc seiceála trom
✔	marc seiceála trom
✖️	iolrú trom x
✖	iolrú trom x
❌	trasmharc
❎	cnaipe trasmharc
➕	comhartha móide trom
➖	comhartha trom lúide
➗	comhartha roinne trom
➰	lúb chatach
➿	lúb chatach dúbailte
〽️	marc malartaithe páirte
〽	marc malartaithe páirte
✳️	réiltín ocht-labhartha
✳	réiltín ocht-labhartha
✴️	réalta ocht bpointe
✴	réalta ocht bpointe
❇️	spréach
❇	spréach
‼️	comhartha dúbailte exclamation
‼	comhartha dúbailte exclamation
⁉️	comhartha ceiste exclamation
⁉	comhartha ceiste exclamation
❓	comhartha ceiste
❔	comhartha ceiste bán
❕	comhartha exclamation bán
❗	comhartha uaillbhreasa
〰️	Fleasc wavy
〰	Fleasc wavy
©️	cóipcheart
©	cóipcheart
®️	cláraithe
®	cláraithe
™️	Trádmharc
™	Trádmharc
#️⃣	caipín eochair: #
#⃣	caipín eochair: #
*️⃣	caipín eochair: *
*⃣	caipín eochair: *
0️⃣	caipín eochair: 0
0⃣	caipín eochair: 0
1️⃣	caipín eochair: 1
1⃣	caipín eochair: 1
2️⃣	caipín eochair: 2
2⃣	caipín eochair: 2
3️⃣	caipín eochair: 3
3⃣	caipín eochair: 3
4️⃣	caipín eochair: 4
4⃣	caipín eochair: 4
5️⃣	caipín eochair: 5
5⃣	caipín eochair: 5
6️⃣	caipín eochair: 6
6⃣	caipín eochair: 6
7️⃣	caipín eochair: 7
7⃣	caipín eochair: 7
8️⃣	caipín eochair: 8
8⃣	caipín eochair: 8
9️⃣	caipín eochair: 9
9⃣	caipín eochair: 9
🔟	caipín eochair: 10
💯	céad pointe
🔠	ionchur Laidine uachtair
🔡	ionchur Laidineach litreacha beaga
🔢	uimhreacha ionchuir
🔣	siombailí ionchuir
🔤	ionchur litreacha Laidine
🅰️	Cnaipe (cineál fola)
🅰	Cnaipe (cineál fola)
🆎	Cnaipe AB (cineál fola)
🅱️	Cnaipe B (cineál fola)
🅱	Cnaipe B (cineál fola)
🆑	Cnaipe CL
🆒	Cnaipe fionnuar
🆓	Cnaipe SAOR IN AISCE
ℹ️	eolas
ℹ	eolas
🆔	cnaipe aitheantais
Ⓜ️	ciorcal M
Ⓜ	ciorcal M
🆕	Cnaipe NUA
🆖	Cnaipe NG
🅾️	Cnaipe O (cineál fola)
🅾	Cnaipe O (cineál fola)
🆗	OK cnaipe
🅿️	Cnaipe P
🅿	Cnaipe P
🆘	Cnaipe SOS
🆙	Cnaipe UP
🆚	Cnaipe vs
🈁	Cnaipe Seapánach “anseo”.
🈂️	Cnaipe Seapáinise “muirear seirbhíse”.
🈂	Cnaipe Seapáinise “muirear seirbhíse”.
🈷️	Cnaipe Seapáinise “méid míosúil”.
🈷	Cnaipe Seapáinise “méid míosúil”.
🈶	Cnaipe Seapánach “ní hea saor in aisce”.
🈯	Cnaipe Seapáinise “forchoimeádta”.
🉐	Cnaipe Seapánach “mhargadh”.
🈹	Cnaipe “lascaine” Seapánach
🈚	Cnaipe Seapáinise “saor in aisce”.
🈲	Cnaipe Seapáinise “toirmiscthe”.
🉑	Cnaipe Seapáinise “inghlactha”.
🈸	Cnaipe Seapáinise “iarratas”.
🈴	Cnaipe Seapáinise “grád pasála”.
🈳	Cnaipe Seapáinise “folúntas”.
㊗️	Cnaipe Seapánach “comhghairdeas”.
