😀	išsišiepęs veidas
🤹🏿‍♂️	žongliruojantis vyras: tamsus odos atspalvis
🤹🏿‍♂	žongliruojantis vyras: tamsus odos atspalvis
🤹‍♀️	moteris žongliruoja
🤹‍♀	moteris žongliruoja
🤹🏻‍♀️	moteris žongliruoja: šviesus odos atspalvis
🤹🏻‍♀	moteris žongliruoja: šviesus odos atspalvis
🤹🏼‍♀️	moteris žongliruoja: vidutinio šviesumo odos atspalvis
🤹🏼‍♀	moteris žongliruoja: vidutinio šviesumo odos atspalvis
🤹🏽‍♀️	moteris žongliruoja: vidutinis odos atspalvis
🤹🏽‍♀	moteris žongliruoja: vidutinis odos atspalvis
🤹🏾‍♀️	moteris žongliruoja: vidutiniškai tamsus odos atspalvis
🤹🏾‍♀	moteris žongliruoja: vidutiniškai tamsus odos atspalvis
🤹🏿‍♀️	moteris žongliruoja: tamsus odos atspalvis
🤹🏿‍♀	moteris žongliruoja: tamsus odos atspalvis
👫	vyras ir moteris susikibę rankomis
👬	du vyrai susikibę rankomis
👭	dvi moterys susikibusios rankomis
💏	pabučiuoti
👩‍❤️‍💋‍👨	bučinys: moteris, vyras
👩‍❤‍💋‍👨	bučinys: moteris, vyras
👨‍❤️‍💋‍👨	bučinys: vyras, vyras
👨‍❤‍💋‍👨	bučinys: vyras, vyras
👩‍❤️‍💋‍👩	bučinys: moteris, moteris
👩‍❤‍💋‍👩	bučinys: moteris, moteris
💑	pora su širdimi
👩‍❤️‍👨	pora su širdimi: moteris, vyras
👩‍❤‍👨	pora su širdimi: moteris, vyras
👨‍❤️‍👨	pora su širdimi: vyras, vyras
👨‍❤‍👨	pora su širdimi: vyras, vyras
👩‍❤️‍👩	pora su širdimi: moteris, moteris
👩‍❤‍👩	pora su širdimi: moteris, moteris
👪	šeima
👨‍👩‍👦	šeima: vyras, moteris, berniukas
👨‍👩‍👧	šeima: vyras, moteris, mergina
👨‍👩‍👧‍👦	šeima: vyras, moteris, mergaitė, berniukas
👨‍👩‍👦‍👦	šeima: vyras, moteris, berniukas, berniukas
👨‍👩‍👧‍👧	šeima: vyras, moteris, mergina, mergina
👨‍👨‍👦	šeima: vyras, vyras, berniukas
👨‍👨‍👧	šeima: vyras, vyras, mergina
👨‍👨‍👧‍👦	šeima: vyras, vyras, mergaitė, berniukas
👨‍👨‍👦‍👦	šeima: vyras, vyras, berniukas, berniukas
👨‍👨‍👧‍👧	šeima: vyras, vyras, mergina, mergina
👩‍👩‍👦	šeima: moteris, moteris, berniukas
👩‍👩‍👧	šeima: moteris, moteris, mergina
👩‍👩‍👧‍👦	šeima: moteris, moteris, mergaitė, berniukas
👩‍👩‍👦‍👦	šeima: moteris, moteris, berniukas, berniukas
👩‍👩‍👧‍👧	šeima: moteris, moteris, mergina, mergina
👨‍👦	šeima: vyras, berniukas
👨‍👦‍👦	šeima: vyras, berniukas, berniukas
👨‍👧	šeima: vyras, mergina
👨‍👧‍👦	šeima: vyras, mergaitė, berniukas
👨‍👧‍👧	šeima: vyras, mergina, mergina
👩‍👦	šeima: moteris, berniukas
👩‍👦‍👦	šeima: moteris, berniukas, berniukas
👩‍👧	šeima: moteris, mergina
👩‍👧‍👦	šeima: moteris, mergaitė, berniukas
👩‍👧‍👧	šeima: moteris, mergina, mergina
🤳	autoportretas
🤳🏻	asmenukė: šviesus odos tonas
🤳🏼	„selfie“: vidutinio šviesumo odos atspalvis
🤳🏽	asmenukė: vidutinio odos atspalvio
🤳🏾	„selfie“: vidutiniškai tamsus odos atspalvis
🤳🏿	asmenukė: tamsus odos tonas
💪	sulenkti bicepsai
💪🏻	sulenkti bicepsai: šviesus odos atspalvis
💪🏼	sulenkti bicepsai: vidutinio šviesumo odos atspalvis
💪🏽	sulenkti bicepsai: vidutinio odos atspalvio
💪🏾	sulenkti bicepsai: vidutiniškai tamsus odos atspalvis
💪🏿	sulenkti bicepsai: tamsus odos atspalvis
🦵	koja
🦵🏻	koja: šviesus odos atspalvis
🦵🏼	koja: vidutinio šviesumo odos atspalvis
🦵🏽	koja: vidutinio odos atspalvio
🦵🏾	koja: vidutiniškai tamsus odos atspalvis
🦵🏿	koja: tamsus odos atspalvis
🦶	pėda
🦶🏻	pėda: šviesus odos atspalvis
🦶🏼	pėda: vidutinio šviesumo odos atspalvis
🦶🏽	pėda: vidutinio odos atspalvio
🦶🏾	pėda: vidutiniškai tamsus odos atspalvis
🦶🏿	pėda: tamsus odos atspalvis
👈	atgalinė rodyklė, nukreipta į kairę
👈🏻	nugaros rodyklė nukreipta į kairę: šviesus odos atspalvis
👈🏼	nugaros rodyklė nukreipta į kairę: vidutiniškai šviesus odos atspalvis
👈🏽	nugaros rodyklė, nukreipta į kairę: vidutinis odos atspalvis
👈🏾	nugaros rodyklė nukreipta į kairę: vidutiniškai tamsus odos atspalvis
👈🏿	nugaros rodyklė nukreipta į kairę: tamsus odos atspalvis
👉	atgalinė rodyklė, nukreipta į dešinę
👉🏻	dešinėn rodyklė: šviesus odos atspalvis
👉🏼	rankenos rodyklė nukreipta į dešinę: vidutiniškai šviesus odos atspalvis
👉🏽	rankenos rodyklė, nukreipta į dešinę: vidutinis odos atspalvis
👉🏾	rankenos rodyklė, nukreipta į dešinę: vidutiniškai tamsus odos atspalvis
👉🏿	rankenos rodyklė nukreipta į dešinę: tamsus odos atspalvis
☝️	rodyklė nukreipta į viršų
☝	rodyklė nukreipta į viršų
☝🏻	Rodyklė nukreipta į viršų: šviesus odos atspalvis
☝🏼	Rodyklė nukreipta į viršų: vidutinio šviesumo odos atspalvis
☝🏽	rodyklė nukreipta į viršų: vidutinis odos atspalvis
☝🏾	rodyklė aukštyn: vidutiniškai tamsus odos atspalvis
☝🏿	Rodyklė nukreipta į viršų: tamsus odos atspalvis
👆	rankenos rodyklė nukreipta į viršų
👆🏻	nugarinės rankos rodyklė nukreipta į viršų: šviesus odos atspalvis
👆🏼	nugarinės rankos rodyklė, nukreipta į viršų: vidutiniškai šviesus odos atspalvis
👆🏽	aukštyn nukreiptos nugaros rodyklės: vidutinis odos atspalvis
👆🏾	užnugarinė rodyklė nukreipta į viršų: vidutiniškai tamsus odos atspalvis
👆🏿	užnugarinė rodyklė nukreipta į viršų: tamsus odos atspalvis
🖕	vidurinis pirštas
🖕🏻	vidurinis pirštas: šviesus odos atspalvis
🖕🏼	vidurinis pirštas: vidutinio šviesumo odos atspalvis
🖕🏽	vidurinis pirštas: vidutinis odos atspalvis
🖕🏾	vidurinis pirštas: vidutiniškai tamsus odos atspalvis
🖕🏿	vidurinis pirštas: tamsus odos atspalvis
👇	atgalinė rodyklė, nukreipta žemyn
👇🏻	Nugaros rodyklė nukreipta žemyn: šviesus odos atspalvis
👇🏼	Nugaros rodyklė nukreipta žemyn: vidutinio šviesumo odos atspalvis
👇🏽	Nugaros rodyklė nukreipta žemyn: vidutinis odos atspalvis
👇🏾	Nugaros rodyklė nukreipta žemyn: vidutiniškai tamsus odos atspalvis
👇🏿	Nugaros rodyklė nukreipta žemyn: tamsus odos atspalvis
✌️	pergalės ranka
✌	pergalės ranka
✌🏻	pergalės ranka: šviesus odos atspalvis
✌🏼	pergalės ranka: vidutiniškai šviesus odos atspalvis
✌🏽	pergalės ranka: vidutinis odos atspalvis
✌🏾	pergalės ranka: vidutiniškai tamsus odos atspalvis
✌🏿	pergalės ranka: tamsus odos atspalvis
🤞	sukryžiuoti pirštai
🤞🏻	sukryžiuoti pirštai: šviesus odos atspalvis
🤞🏼	sukryžiuoti pirštai: vidutinio šviesumo odos atspalvis
🤞🏽	sukryžiuoti pirštai: vidutinio odos atspalvio
🤞🏾	sukryžiuoti pirštai: vidutiniškai tamsus odos atspalvis
🤞🏿	sukryžiuoti pirštai: tamsus odos atspalvis
🖖	vulkaninis sveikinimas
🖖🏻	vulkaninis pasveikinimas: šviesus odos tonas
🖖🏼	vulkaninis pasveikinimas: vidutinio šviesumo odos atspalvis
🖖🏽	vulkaninis pasveikinimas: vidutinio odos atspalvio
🖖🏾	vulkaninis pasveikinimas: vidutiniškai tamsus odos atspalvis
🖖🏿	vulkaninis pasveikinimas: tamsus odos tonas
🤘	ragų ženklas
🤘🏻	ragų ženklas: šviesus odos atspalvis
🤘🏼	ragų ženklas: vidutinio šviesumo odos atspalvis
🤘🏽	ragų ženklas: vidutinis odos atspalvis
🤘🏾	ragų ženklas: vidutiniškai tamsus odos atspalvis
🤘🏿	ragų ženklas: tamsus odos atspalvis
🤙	pakviesk mane ranka
🤙🏻	vadink mane ranka: šviesios odos
🤙🏼	vadink mane ranka: vidutinio šviesumo odos atspalvis
🤙🏽	vadink mane ranka: vidutinio odos atspalvio
🤙🏾	vadink mane ranka: vidutinio tamsumo odos atspalvis
🤙🏿	vadink mane ranka: tamsus odos atspalvis
🖐️	ranka su išskėstais pirštais
🖐	ranka su išskėstais pirštais
🖐🏻	ranka su išskėstais pirštais: šviesus odos atspalvis
🖐🏼	ranka su išskėstais pirštais: vidutinio šviesumo odos atspalvis
🖐🏽	ranka su išskėstais pirštais: vidutinio odos atspalvio
🖐🏾	ranka su išskėstais pirštais: vidutiniškai tamsus odos atspalvis
🖐🏿	ranka su išskėstais pirštais: tamsus odos atspalvis
✋	pakelta ranka
✋🏻	pakelta ranka: šviesus odos atspalvis
✋🏼	pakelta ranka: vidutinio šviesumo odos atspalvis
✋🏽	pakelta ranka: vidutinio odos atspalvio
✋🏾	pakelta ranka: vidutiniškai tamsus odos atspalvis
✋🏿	pakelta ranka: tamsus odos atspalvis
👌	Gerai ranka
👌🏻	Gera ranka: šviesus odos atspalvis
👌🏼	Gera ranka: vidutinio šviesumo odos atspalvis
👌🏽	Gera ranka: vidutinio odos atspalvio
👌🏾	Gerai ranka: vidutiniškai tamsus odos atspalvis
👌🏿	Gera ranka: tamsus odos atspalvis
👍	Nykščiai aukštyn
👍🏻	nykščiai aukštyn: šviesus odos atspalvis
👍🏼	nykščiai aukštyn: vidutinio šviesumo odos atspalvis
👍🏽	nykščiai į viršų: vidutinio odos atspalvio
👍🏾	nykščiai aukštyn: vidutiniškai tamsus odos atspalvis
👍🏿	nykščiai aukštyn: tamsus odos atspalvis
👎	nepatinka
👎🏻	nykščiai žemyn: šviesus odos atspalvis
👎🏼	nykščiai žemyn: vidutinio šviesumo odos atspalvis
👎🏽	nykščiai žemyn: vidutinio odos atspalvio
👎🏾	nykščiai žemyn: vidutiniškai tamsus odos atspalvis
👎🏿	nykščiai žemyn: tamsus odos atspalvis
✊	iškeltas kumštis
✊🏻	pakeltas kumštis: šviesus odos atspalvis
✊🏼	pakeltas kumštis: vidutinio šviesumo odos atspalvis
✊🏽	pakeltas kumštis: vidutinio odos atspalvio
✊🏾	pakeltas kumštis: vidutiniškai tamsus odos atspalvis
✊🏿	pakeltas kumštis: tamsus odos atspalvis
👊	artėjantis kumštis
👊🏻	artėjantis kumštis: šviesus odos atspalvis
👊🏼	artėjantis kumštis: vidutinio šviesumo odos atspalvis
👊🏽	artėjantis kumštis: vidutinio odos atspalvio
👊🏾	artėjantis kumštis: vidutiniškai tamsus odos atspalvis
👊🏿	artėjantis kumštis: tamsus odos atspalvis
🤛	į kairę atsuktas kumštis
🤛🏻	į kairę atsuktas kumštis: šviesus odos atspalvis
🤛🏼	į kairę nukreiptas kumštis: vidutinio šviesumo odos atspalvis
🤛🏽	į kairę atsuktas kumštis: vidutinio odos atspalvio
🤛🏾	į kairę atsuktas kumštis: vidutiniškai tamsus odos atspalvis
🤛🏿	į kairę atsuktas kumštis: tamsus odos atspalvis
🤜	į dešinę nukreiptą kumštį
🤜🏻	į dešinę nukreiptas kumštis: šviesus odos atspalvis
🤜🏼	į dešinę nukreiptas kumštis: vidutinio šviesumo odos atspalvis
🤜🏽	į dešinę atsuktas kumštis: vidutinio odos atspalvio
🤜🏾	į dešinę atsuktas kumštis: vidutiniškai tamsus odos atspalvis
🤜🏿	į dešinę atsuktas kumštis: tamsus odos atspalvis
🤚	pakelta plaštakos nugara
🤚🏻	pakelta plaštaka: šviesus odos atspalvis
🤚🏼	pakelta ranka: vidutinio šviesumo odos atspalvis
🤚🏽	pakelta ranka: vidutinio atspalvio oda
🤚🏾	pakelta plaštaka: vidutiniškai tamsus odos atspalvis
🤚🏿	pakelta plaštaka: tamsus odos atspalvis
👋	mojuoja ranka
👋🏻	mojuojanti ranka: šviesus odos atspalvis
👋🏼	mojuojanti ranka: vidutinio šviesumo odos atspalvis
👋🏽	mojuojanti ranka: vidutinio odos atspalvio
👋🏾	mojuojanti ranka: vidutiniškai tamsus odos atspalvis
👋🏿	mojuojanti ranka: tamsus odos atspalvis
🤟	myliu tave gestas
🤟🏻	myliu tave: šviesus odos atspalvis
🤟🏼	myliu tave: vidutinio šviesumo odos atspalvis
🤟🏽	myliu tave: vidutinio odos atspalvio
🤟🏾	Mylėjimo gestas: vidutiniškai tamsus odos atspalvis
🤟🏿	Mylėjimo gestas: tamsus odos atspalvis
✍️	rašanti ranka
✍	rašanti ranka
✍🏻	rašanti ranka: šviesus odos atspalvis
✍🏼	rašanti ranka: vidutiniškai šviesus odos atspalvis
✍🏽	rašanti ranka: vidutinis odos atspalvis
✍🏾	rašanti ranka: vidutiniškai tamsus odos atspalvis
✍🏿	rašanti ranka: tamsus odos tonas
👏	suploja rankomis
👏🏻	plojimai rankomis: šviesus odos atspalvis
👏🏼	plojimai rankomis: vidutinio šviesumo odos atspalvis
👏🏽	plojimai rankomis: vidutinio odos atspalvio
👏🏾	plojimai rankomis: vidutiniškai tamsus odos atspalvis
👏🏿	plojimai rankomis: tamsus odos atspalvis
👐	atviros rankos
👐🏻	atviros rankos: šviesus odos atspalvis
👐🏼	atviros rankos: vidutinio šviesumo odos atspalvis
👐🏽	atviros rankos: vidutinio odos atspalvio
👐🏾	atviros rankos: vidutiniškai tamsus odos atspalvis
👐🏿	atviros rankos: tamsus odos atspalvis
🙌	pakeldamas rankas
🙌🏻	pakėlus rankas: šviesus odos atspalvis
🙌🏼	rankų pakėlimas: vidutinio šviesumo odos atspalvis
🙌🏽	rankų pakėlimas: vidutinio odos atspalvio
🙌🏾	rankų pakėlimas: vidutiniškai tamsus odos atspalvis
🙌🏿	rankų pakėlimas: tamsus odos atspalvis
🤲	delnais aukštyn kartu
🤲🏻	delnai aukštyn kartu: šviesus odos atspalvis
🤲🏼	delnai aukštyn kartu: vidutinio šviesumo odos atspalvis
🤲🏽	delnai aukštyn kartu: vidutinio odos atspalvio
🤲🏾	delnai aukštyn kartu: vidutiniškai tamsus odos atspalvis
🤲🏿	delnai aukštyn kartu: tamsus odos atspalvis
🙏	susidėjusias rankas
🙏🏻	suglaustos rankos: šviesus odos atspalvis
🙏🏼	suglaustos rankos: vidutinio šviesumo odos atspalvis
🙏🏽	suglaustos rankos: vidutinio odos atspalvio
🙏🏾	suglaustos rankos: vidutiniškai tamsus odos atspalvis
🙏🏿	suglaustos rankos: tamsus odos atspalvis
🤝	rankos paspaudimas
💅	nagų lakas
💅🏻	nagų lakas: šviesus odos atspalvis
💅🏼	nagų lakas: vidutinio šviesumo odos atspalvis
💅🏽	nagų lakas: vidutinio odos atspalvio
💅🏾	nagų lakas: vidutiniškai tamsus odos tonas
💅🏿	nagų lakas: tamsus odos atspalvis
👂	ausis
👂🏻	ausis: šviesus odos atspalvis
👂🏼	ausis: vidutinio šviesumo odos atspalvis
👂🏽	ausis: vidutinio odos atspalvio
👂🏾	ausis: vidutiniškai tamsus odos atspalvis
👂🏿	ausis: tamsus odos tonas
👃	nosies
👃🏻	nosis: šviesus odos atspalvis
👃🏼	nosis: vidutinio šviesumo odos atspalvis
👃🏽	nosis: vidutinio odos atspalvio
👃🏾	nosis: vidutiniškai tamsus odos atspalvis
👃🏿	nosis: tamsus odos atspalvis
🦰	raudonplaukė
🦱	garbanotas
🦲	nuplikęs
🦳	baltaplaukė
👣	pėdsakų
👀	akys
👁️	akis
👁	akis
👁️‍🗨️	akis kalbos burbule
👁‍🗨️	akis kalbos burbule
👁️‍🗨	akis kalbos burbule
👁‍🗨	akis kalbos burbule
🧠	smegenys
🦴	kaulų
🦷	dantis
👅	liežuvis
👄	Burna
💋	bučinio ženklas
💘	širdis su rodykle
❤️	raudona širdis
❤	raudona širdis
💓	plakanti širdis
💔	sudaužyta širdis
💕	dvi širdys
💖	putojanti širdis
💗	auga širdis
💙	mėlyna širdis
💚	žalia širdis
💛	geltona širdis
🧡	oranžinė širdis
💜	purpurinė širdis
🖤	juoda širdis
💝	širdis su kaspinu
💞	besisukančios širdys
💟	širdies puošmena
❣️	sunkus širdies šauksmas
❣	sunkus širdies šauksmas
💌	meilės laiškas
💤	zzz
💢	pykčio simbolis
💣	bomba
💥	susidūrimas
💦	prakaito lašeliai
💨	veržiasi šalin
💫	apsvaigęs
💬	kalbos balionas
🗨️	kairysis kalbos burbulas
🗨	kairysis kalbos burbulas
🗯️	teisingas pykčio burbulas
🗯	teisingas pykčio burbulas
💭	minčių balionas
🕳️	skylė
🕳	skylė
👓	akinius
🕶️	akiniai nuo saulės
🕶	akiniai nuo saulės
🥽	akinius
🥼	Laboratorinis chalatas
👔	kaklaraištis
👕	marškinėliai
👖	džinsai
🧣	skara
🧤	pirštines
🧥	paltas
🧦	kojines
👗	suknele
👘	kimono
👙	bikinis
👚	moteriški drabužiai
👛	piniginė
👜	rankinė
👝	sankabos krepšys
🛍️	pirkinių krepšiai
🛍	pirkinių krepšiai
🎒	mokyklinė kuprinė
👞	vyriškas batas
👟	bėgimo bateliai
🥾	žygio batai
🥿	moteriški batai
👠	aukštakulniai batai
👡	moteriškas sandalas
👢	moteriškas batas
👑	karūną
👒	moteriška skrybėlė
🎩	cilindrinė kepurė
🎓	baigimo kepuraitė
🧢	atsiskaitoma viršutinė riba
⛑️	gelbėtojo šalmas
⛑	gelbėtojo šalmas
📿	rožančius
💄	lūpų dažai
💍	žiedas
💎	brangakmenis
🐵	beždžionės veidas
🐒	beždžionė
🦍	gorila
🐶	šuns veidas
🐕	šuo
🐩	pudelis
🐺	vilko veidas
🦊	lapės veidas
🦝	meškėnas
🐱	katės veidas
🐈	katė
🦁	liūto veidas
🐯	tigro veidas
🐅	tigras
🐆	leopardas
🐴	arklio veidas
🐎	arklys
🦄	vienaragio veidas
🦓	zebras
🦌	elnias
🐮	karvės veidas
🐂	Jautis
🐃	azijinis buivolas
🐄	karvė
🐷	kiaulės veidas
🐖	kiaulė
🐗	šernas
🐽	kiaulės nosis
🐏	avinas
🐑	avelė
🐐	ožka
🐪	kupranugaris
🐫	dvikuprotis kupranugaris
🦙	lama
🦒	žirafa
🐘	dramblys
🦏	raganosis
🦛	begemotas
🐭	pelės veidas
🐁	pelė
🐀	žiurkė
🐹	žiurkėno veidas
🐰	triušio veidas
🐇	triušis
🐿️	burundukas
🐿	burundukas
🦔	ežiukas
🦇	šikšnosparnis
🐻	meškos veidas
🐨	koala
🐼	pandos veidas
🦘	Kengūra
🦡	barsukas
🐾	letenų žymės
🦃	Turkija
🐔	vištiena
🐓	Gaidys
🐣	perintis jauniklis
🐤	jauniklis
🐥	į priekį atsuktas jauniklis
🐦	paukštis
🐧	pingvinas
🕊️	balandis
🕊	balandis
🦅	erelis
🦆	antis
🦢	gulbė
🦉	pelėda
🦚	povas
🦜	papūga
🐸	varlės veidas
🐊	krokodilas
🐢	vėžlys
🦎	driežas
🐍	gyvatė
🐲	drakono veidas
🐉	drakonas
🦕	sauropodas
🦖	T-Rex
🐳	spoksantis banginis
🐋	banginis
🐬	delfinas
🐟	žuvis
🐠	tropinė žuvis
🐡	blowfish
🦈	ryklys
🐙	aštuonkojis
🐚	spiralinis apvalkalas
🦀	krabas
🦞	omaras
🦐	krevetės
🦑	kalmarai
🐌	sraigė
🦋	drugelis
🐛	klaida
🐜	ant
🐝	medaus BITĖ
🐞	dama vabalė
🦗	Kriketas
🕷️	voras
🕷	voras
🕸️	voratinklis
🕸	voratinklis
🦂	skorpionas
🦟	uodas
🦠	mikrobas
💐	puokštė
🌸	vyšnių žiedas
💮	balta gėlė
🏵️	rozetė
🏵	rozetė
🌹	rožė
🥀	nuvytusi gėlė
🌺	hibiscus
🌻	saulėgrąžų
🌼	žiedas
🌷	tulpė
🌱	sodinukas
🌲	visžalis medis
🌳	lapuočių medis
🌴	palmė
🌵	kaktusas
🌾	ryžių pluoštas
🌿	žolė
☘️	šamūnas
☘	šamūnas
🍀	keturių lapų dobilų
🍁	klevo lapas
🍂	nukritęs lapas
🍃	vėjyje plazdantis lapas
🍇	vynuogės
🍈	melionas
🍉	arbūzas
🍊	mandarinas
🍋	citrina
🍌	bananas
🍍	ananasų
🥭	mango
🍎	raudonas obuolys
🍏	žalias obuolys
🍐	kriaušė
🍑	persikų
🍒	vyšnios
🍓	braškių
🥝	kivi vaisius
🍅	pomidoras
🥥	kokoso
🥑	avokadas
🍆	Baklažanas
🥔	bulvė
🥕	morkos
🌽	kukurūzų varpa
🌶️	aštrus pipiras
🌶	aštrus pipiras
🥒	agurkas
🥬	lapinė žalia
🥦	Brokoliai
🍄	grybas
🥜	riešutai
🌰	kaštonas
🍞	duona
🥐	kruasanas
🥖	batono duona
🥨	klinšeras
🥯	riestainis
🥞	blynai
🧀	sūrio skiltelė
🍖	mėsa ant kaulų
🍗	paukštienos koja
🥩	mėsos gabalas
🥓	lašinių
🍔	mėsainis
🍟	skrudintos bulvės
🍕	pica
🌭	dešrainis
🥪	sumuštinis
🌮	taco
🌯	burrito
🥙	įdarytas paplotėlis
🥚	kiaušinis
🍳	maisto gaminimas
🥘	sekli maisto keptuvė
🍲	puodą maisto
🥣	dubuo su šaukštu
🥗	žalios salotos
🍿	spragėsių kukurūzų
🧂	druskos
🥫	konservai
🍱	bento dėžė
🍘	ryžių krekeris
🍙	ryžių rutuliukas
🍚	virti ryžiai
🍛	kario ryžiai
🍜	garuojantis dubuo
🍝	spagečiai
🍠	keptos saldžiosios bulvės
🍢	oden
🍣	sušiai
🍤	keptos krevetės
🍥	žuvies pyragas su sūkuriu
🥮	menulio tortas
🍡	dango
🥟	koldūnas
🥠	laimės sausainis
🥡	išsinešimo dėžutė
🍦	minkšti ledai
🍧	nuskustas ledas
🍨	ledai
🍩	spurga
🍪	sausainis
🎂	gimtadienio tortas
🍰	trumpas pyragas
🧁	keksiukas
🥧	pyragas
🍫	šokolado plytelė
🍬	saldainiai
🍭	ledinukas
🍮	kremas
🍯	medaus puodas
🍼	kūdikio buteliukas
🥛	stiklinė pieno
☕	karštas gėrimas
🍵	arbatos puodelis be rankenos
🍶	labui
🍾	butelis su spragsinčiu kamščiu
🍷	vyno taurė
🍸	kokteilio taurė
🍹	tropinis gėrimas
🍺	alaus bokalas
🍻	žvangčiojantys alaus bokalai
🥂	žvangiantys akiniai
🥃	stiklinės stiklinės
🥤	puodelis su šiaudais
🥢	lazdelės
🍽️	šakutė ir peilis su lėkšte
🍽	šakutė ir peilis su lėkšte
🍴	šakutė ir peilis
🥄	šaukštas
🔪	virtuvinis peilis
🏺	amfora
🌍	Žemės rutulys, rodantis Europą-Afriką
🌎	Žemės rutulys, rodantis Ameriką
🌏	Žemės rutulys, rodantis Aziją-Australiją
🌐	Žemės rutulys su dienovidiniais
🗺️	Pasaulio žemėlapis
🗺	Pasaulio žemėlapis
🗾	Japonijos žemėlapis
🧭	kompasas
🏔️	sniegu padengtas kalnas
🏔	sniegu padengtas kalnas
⛰️	kalnas
⛰	kalnas
🌋	vulkanas
🗻	Fuji kalnas
🏕️	stovyklavimas
🏕	stovyklavimas
🏖️	paplūdimys su skėčiu
🏖	paplūdimys su skėčiu
🏜️	dykuma
🏜	dykuma
🏝️	dykumos sala
🏝	dykumos sala
🏞️	Nacionalinis parkas
🏞	Nacionalinis parkas
🏟️	stadionas
🏟	stadionas
🏛️	klasikinis pastatas
🏛	klasikinis pastatas
🏗️	pastato konstrukcija
🏗	pastato konstrukcija
🧱	plytos
🏘️	namai
🏘	namai
🏚️	apleistas namas
🏚	apleistas namas
🏠	namas
🏡	namas su sodu
🏢	biurų pastatas
🏣	Japonijos paštas
🏤	paštas
🏥	ligoninė
🏦	bankas
🏨	viešbutis
🏩	meilės viešbutis
🏪	būtiniausių prekių parduotuvė
🏫	mokykla
🏬	universalinė parduotuvė
🏭	gamykla
🏯	Japonijos pilis
🏰	pilis
💒	Vestuvės
🗼	Tokijo bokštas
🗽	Laisvės statula
⛪	bažnyčia
🕌	mečetė
🕍	sinagoga
⛩️	šintoistų šventovė
⛩	šintoistų šventovė
🕋	kaaba
⛲	fontanas
⛺	palapinė
🌁	miglotas
🌃	naktis su žvaigždėmis
🏙️	miestovaizdis
🏙	miestovaizdis
🌄	saulėtekis virš kalnų
🌅	saulėtekis
🌆	miesto vaizdas sutemus
🌇	saulėlydis
🌉	tiltas naktį
♨️	karštosios versmės
♨	karštosios versmės
🌌	paukščių takas
🎠	karuselės arklys
🎡	apžvalgos ratas
🎢	amerikietiški kalneliai
💈	kirpėjo stulpas
🎪	cirko palapine
🚂	lokomotyvas
🚃	geležinkelio vagonas
🚄	Greitasis traukinys
🚅	Kulkų traukinys
🚆	traukinys
🚇	metro
🚈	lengvuoju geležinkeliu
🚉	stotis
🚊	tramvajus
🚝	vienabėgis geležinkelis
🚞	kalnų geležinkelis
🚋	tramvajaus automobilis
🚌	autobusas
🚍	atvažiuojantis autobusas
🚎	troleibusas
🚐	mikroautobusas
🚑	greitoji pagalba
🚒	gaisrinė mašina
🚓	policijos automobilis
🚔	atvažiuojantis policijos automobilis
🚕	taksi
🚖	atvažiuojantis taksi
🚗	automobilis
🚘	atvažiuojantis automobilis
🚙	sportinė transporto priemonė
🚚	pristatymo sunkvežimis
🚛	šarnyrinis sunkvežimis
🚜	traktorius
🚲	dviratis
🛴	paspirtukas
🛹	riedlentė
🛵	motoroleris
🚏	autobusų stotelė
🛣️	greitkelis
🛣	greitkelis
🛤️	geležinkelio bėgių
🛤	geležinkelio bėgių
🛢️	alyvos būgnas
🛢	alyvos būgnas
⛽	kuro siurblys
🚨	policijos automobilio šviesa
🚥	horizontalus šviesoforas
🚦	vertikalus šviesoforas
🛑	Stop ženklas
🚧	statyba
⚓	inkaras
⛵	burlaivis
🛶	kanoja
🚤	greitaeigis kateris
🛳️	keleivinis laivas
🛳	keleivinis laivas
⛴️	keltas
⛴	keltas
🛥️	motorinė valtis
🛥	motorinė valtis
🚢	laivas
✈️	lėktuvas
✈	lėktuvas
🛩️	mažas lėktuvas
🛩	mažas lėktuvas
🛫	lėktuvo išvykimas
🛬	lėktuvo atvykimas
💺	sėdynė
🚁	malūnsparnis
🚟	kabantis geležinkelis
🚠	kalnų lynų kelias
🚡	oro tramvajus
🛰️	palydovas
🛰	palydovas
🚀	raketa
🛸	skraidanti lėkštė
🛎️	varpelio varpas
🛎	varpelio varpas
🧳	bagažas
⌛	smėlio laikrodis baigtas
⏳	smėlio laikrodis nepadarytas
⌚	žiūrėti
⏰	Žadintuvas
⏱️	chronometras
⏱	chronometras
⏲️	laikmačio laikrodis
⏲	laikmačio laikrodis
🕰️	židinio atbrailos laikrodis
🕰	židinio atbrailos laikrodis
🕛	dvylikta valanda
🕧	pusė pirmos
🕐	pirma valanda
🕜	pusvalandis
🕑	antra valanda
🕝	po dviejų trisdešimt
🕒	trečia valanda
🕞	trys trisdešimt
🕓	ketvirta valanda
🕟	keturios trisdešimt
🕔	penkta valanda
🕠	pusė šešių
🕕	šešta valanda
🕡	šešios trisdešimt
🕖	septinta valanda
🕢	septyni trisdešimt
🕗	aštunta valanda
🕣	aštuonios trisdešimt
🕘	devinta valanda
🕤	devynios trisdešimt
🕙	dešimta valanda
🕥	dešimt trisdešimt
🕚	vienuolika valandų
🕦	vienuolika trisdešimt
🌑	jaunatis
🌒	augantis pusmėnulis
🌓	pirmojo ketvirčio mėnulis
