😀	hmel nuihzatthlak tak
🦶🏽	ke: vun rawng (medium skin tone) a ni
🦶🏾	ke: vun rawng (medium-dark skin tone) a ni
🦶🏿	ke: vun rawng dum
👈	backhand index chuan veilam a kawk a
👈🏻	backhand index veilam hawi: vun rawng hring
👈🏼	backhand index veilam hawi: vun rawng (medium-light skin tone) a ni
👈🏽	backhand index veilam hawi: vun rawng (medium skin tone) a ni
👈🏾	backhand index veilam hawi: vun rawng (medium-dark skin tone) a ni
👈🏿	backhand index veilam hawi: vun rawng dum
👉	backhand index chuan dinglam a kawhhmuh a
👉🏻	backhand index dinglam hawi: vun rawng hring
👉🏼	backhand index dinglam hawi: vun rawng (medium-light skin tone) a ni
👉🏽	backhand index dinglam hawi: vun rawng (medium skin tone) a ni
👉🏾	backhand index dinglam hawi: vun rawng (medium-dark skin tone) a ni
👉🏿	backhand index dinglam hawi: vun rawng dum
☝️	index chuan a kawhhmuh a
☝	index chuan a kawhhmuh a
☝🏻	index pointing up: vun rawng hring
☝🏼	index pointing up: vun rawng hring (medium-light skin tone) a ni
☝🏽	index pointing up: vun rawng (medium skin tone) a ni
☝🏾	index pointing up: vun rawng dum (medium-dark skin tone) a ni
☝🏿	index pointing up: vun rawng dum
👆	backhand index chuan chunglam a kawhhmuh a
👆🏻	backhand index pointing up: vun rawng hring
👆🏼	backhand index pointing up: vun rawng hring (medium-light skin tone) a ni
👆🏽	backhand index pointing up: vun rawng (medium skin tone) a ni
👆🏾	backhand index pointing up: vun rawng dum (medium-dark skin tone) a ni
👆🏿	backhand index pointing up: vun rawng dum
🖕	middle finger a ni
🖕🏻	middle finger: vun rawng hring
🖕🏼	middle finger: vun rawng hring (medium-light skin tone) a ni
🖕🏽	middle finger: vun rawng (medium vun rawng) nei
🖕🏾	middle finger: vun rawng dum (medium-dark skin tone) a ni
🖕🏿	middle finger: vun rawng dum
👇	backhand index chuan hnuai lam a kawhhmuh a
👇🏻	backhand index hnuai lam hawi: vun rawng hring
👇🏼	backhand index hnuai lam hawi: vun rawng (medium-light skin tone).
👇🏽	backhand index hnuai lam hawi: vun rawng (medium skin tone).
👇🏾	backhand index hnuai lam hawi: vun rawng dum (medium-dark skin tone).
👇🏿	backhand index hnuai lam hawi: vun rawng dum
✌️	hnehna kut
✌	hnehna kut
✌🏻	hnehna kut: vun rawng hring
✌🏼	hnehna kut: vun rawng (medium-light skin tone) a ni
✌🏽	hnehna kut: vun rawng (medium skin tone).
✌🏾	hnehna kut: vun rawng (medium-dark skin tone) a ni
✌🏿	hnehna kut: vun dum
🤞	kut zungtang crossed
🤞🏻	crossed fingers: vun rawng hring
🤞🏼	kut zungtang inzawm: vun rawng (medium-light skin tone).
🤞🏽	kut zungtang inzawm: vun rawng (medium skin tone).
🤞🏾	kut zungtang inzawm: vun rawng (medium-dark skin tone).
🤞🏿	crossed fingers: vun rawng dum
🖖	vulcan salute a ni
🖖🏻	vulcan salute: vun rawng hring
🖖🏼	vulcan salute: vun rawng hring (medium-light skin tone) a ni
🖖🏽	vulcan salute: vun rawng (medium skin tone) a ni
🖖🏾	vulcan salute: vun rawng dum (medium-dark skin tone) a ni
🖖🏿	vulcan salute: vun rawng dum
🤘	ki chhinchhiahna
🤘🏻	ki chhinchhiahna: vun rawng hring
🤘🏼	ki chhinchhiahna: vun rawng (medium-light skin tone).
🤘🏽	ki chhinchhiahna: vun rawng (medium skin tone).
🤘🏾	ki chhinchhiahna: vun rawng (medium-dark skin tone).
🤘🏿	ki chhinchhiahna: vun rawng dum
🤙	kut min ko rawh
🤙🏻	kut min ko rawh: vun rawng hring
🤙🏼	kut min ko rawh: vun rawng (medium-light skin tone).
🤙🏽	kut min ko rawh: vun rawng (medium skin tone).
🤙🏾	kut min ko rawh: vun rawng (medium-dark skin tone).
🤙🏿	call me hand: vun rawng dum
🖐️	kut chu kut zungtang hrual chungin
🖐	kut chu kut zungtang hrual chungin
🖐🏻	kut kut zungtang hrual: vun rawng hring
🖐🏼	kut kut zungtang hrual: vun rawng (medium-light skin tone).
🖐🏽	kut kut zungtang hrual: vun rawng (medium skin tone).
🖐🏾	kut kut zungtang hrual: vun rawng (medium-dark skin tone).
🖐🏿	kut kut zungtang hrual: vun rawng dum
✋	kut a phar a
✋🏻	kut sang: vun rawng hring
✋🏼	kut sang: vun rawng (medium-light skin tone) a ni
✋🏽	kut sang: vun rawng (medium skin tone) a ni
✋🏾	kut sang: vun rawng (medium-dark skin tone) a ni
✋🏿	kut chawi sang: vun rawng dum
👌	OK kut a ni
👌🏻	OK kut: vun rawng a eng
👌🏼	OK kut: vun rawng (medium-light skin tone) a ni
👌🏽	OK kut: vun rawng (medium skin tone) a ni
👌🏾	OK kut: vun rawng (medium-dark skin tone) a ni
👌🏿	OK kut: vun rawng dum
👍	thumbs up a ni
👍🏻	thumbs up: vun rawng hring hring
👍🏼	thumbs up: vun rawng hring (medium-light skin tone) a ni
👍🏽	thumbs up: vun rawng (medium skin tone) a ni
👍🏾	thumbs up: vun rawng dum (medium-dark skin tone) a ni
👍🏿	thumbs up: vun rawng dum
👎	thumbs down a ni
👎🏻	thumbs down: vun rawng hring
👎🏼	thumbs down: vun rawng hring (medium-light skin tone) a ni
👎🏽	thumbs down: vun rawng (medium skin tone) a ni
👎🏾	thumbs down: vun rawng dum (medium-dark skin tone) a ni
👎🏿	thumbs down: vun rawng dum
✊	raised fist a ni
✊🏻	raised fist: vun rawng hring
✊🏼	raised fist: vun rawng hring (medium-light skin tone) a ni
✊🏽	raised fist: vun rawng (medium skin tone) a ni
✊🏾	raised fist: vun rawng dum (medium-dark skin tone) a ni
✊🏿	raised fist: vun rawng dum
👊	hmalam panna fist
👊🏻	oncoming fist: vun rawng hring
👊🏼	oncoming fist: vun rawng hring (medium-light skin tone) a ni
👊🏽	oncoming fist: vun rawng (medium skin tone) a ni
👊🏾	oncoming fist: vun rawng dum (medium-dark skin tone) a ni
👊🏿	oncoming fist: vun rawng dum
🤛	veilam hawi fist
🤛🏻	veilam hawi fist: vun rawng hring
🤛🏼	veilam hawi fist: vun rawng (medium-light skin tone) a ni
🤛🏽	veilam hawi fist: vun rawng (medium skin tone).
🤛🏾	veilam hawi fist: vun rawng (medium-dark skin tone) a ni
🤛🏿	veilam hawi fist: vun rawng dum
🤜	dinglam hawi fist
🤜🏻	dinglam hawi fist: vun rawng hring
🤜🏼	dinglam hawi fist: vun rawng (medium-light skin tone).
🤜🏽	dinglam hawi fist: vun rawng (medium skin tone).
🤜🏾	dinglam hawi fist: vun rawng (medium-dark skin tone).
🤜🏿	dinglam hawi fist: vun rawng dum
🤚	kut hnunglam a chawi sang
🤚🏻	kut hnunglam chawi sang: vun rawng hring
🤚🏼	kut hnunglam chawi sang: vun rawng (medium-light skin tone).
🤚🏽	kut hnunglam chawi sang: vun rawng (medium skin tone).
🤚🏾	kut hnunglam chawi sang: vun rawng (medium-dark skin tone).
🤚🏿	kut hnunglam chawi sang: vun rawng dum
👋	kut beng chungin
👋🏻	kut vawrh: vun rawng hring
👋🏼	kut vawrh: vun rawng (medium-light skin tone).
👋🏽	kut vawrh: vun rawng (medium skin tone).
👋🏾	kut vawrh: vun rawng (medium-dark skin tone).
👋🏿	kut vawrh: vun rawng dum
🤟	hmangaihna-nangmah tih gesture
🤟🏻	love-you gesture: vun rawng hring
🤟🏼	love-you gesture: vun rawng hring (medium-light skin tone) a ni
🤟🏽	love-you gesture: vun rawng (medium skin tone) a ni
🤟🏾	love-you gesture: vun rawng dum (medium-dark skin tone) a ni
🤟🏿	love-you gesture: vun rawng dum
✍️	ziak kut
✍	ziak kut
✍🏻	ziak kut: vun rawng hring
✍🏼	ziakna kut: vun rawng (medium-light skin tone).
✍🏽	ziak kut: vun rawng (medium skin tone).
✍🏾	ziak kut: vun rawng (medium-dark skin tone).
✍🏿	ziak kut: vun dum hring
👏	kut beng chungin
👏🏻	kut beng: vun rawng hring
👏🏼	kut beng: vun rawng (medium-light skin tone) a ni
👏🏽	kut beng: vun rawng (medium skin tone) a ni
👏🏾	kut beng: vun rawng (medium-dark skin tone) a ni
👏🏿	kut beng: vun rawng dum
👐	kut hawng rawh
👐🏻	kut inhawng: vun rawng hring
👐🏼	kut inhawng: vun rawng (medium-light skin tone) a ni
👐🏽	kut inhawng: vun rawng (medium skin tone) a ni
👐🏾	kut inhawng: vun rawng (medium-dark skin tone) a ni
👐🏿	kut inhawng: vun rawng dum
🙌	kut phar chungin
🙌🏻	kut chawi sang: vun rawng hring
🙌🏼	kut chawi sang: vun rawng (medium-light skin tone).
🙌🏽	kut chawi sang: vun rawng (medium skin tone).
🙌🏾	kut chawi sang: vun rawng (medium-dark skin tone).
🙌🏿	kut chawi sang: vun rawng dum
🤲	palms up chu a inzawm khawm a
🤲🏻	palms up together: vun rawng hring
🤲🏼	palms up together: vun rawng chu a hring (medium-light skin tone) a ni
🤲🏽	palms up together: vun rawng (medium skin tone) a ni
🤲🏾	palms up together: vun rawng chu a dum (medium-dark skin tone) a ni
🤲🏿	palms up together: vun rawng dum
🙏	kut a beng a
🙏🏻	kut inzawm: vun rawng hring
🙏🏼	kut inzawm: vun rawng (medium-light skin tone) a ni
🙏🏽	kut inzawm: vun rawng (medium skin tone).
🙏🏾	kut inzawm: vun rawng (medium-dark skin tone) a ni
🙏🏿	kut inzawm: vun rawng dum
🤝	kut inthlakna
💅	nail polish a ni
💅🏻	nail polish: vun rawng hring
💅🏼	nail polish: vun rawng hring (medium-light skin tone) a ni
💅🏽	nail polish: vun rawng (medium skin tone) a ni
💅🏾	nail polish: vun rawng dum (medium-dark skin tone) a ni
💅🏿	nail polish: vun rawng dum
👂	beng
👂🏻	beng: vun rawng hring
👂🏼	beng: vun rawng (medium-light skin tone) a ni
👂🏽	beng: vun rawng (medium skin tone) a ni
👂🏾	beng: vun rawng (medium-dark skin tone) a ni
👂🏿	beng: vun rawng dum
👃	hnar
👃🏻	hnar: vun rawng hring
👃🏼	hnar: vun rawng (medium-light skin tone) a ni
👃🏽	hnar: vun rawng (medium skin tone) a ni
👃🏾	hnar: vun rawng (medium-dark skin tone) a ni
👃🏿	hnar: vun rawng dum
🦰	sam sen hring a ni
🦱	sam hrual (curly-haired) a ni
🦲	bald a ni
🦳	sam dum nei
👣	kephah hnuhma a awm
👀	mit
👁️	mit
👁	mit
👁️‍🗨️	mit chu thusawi bubble-ah a awm
👁‍🗨️	mit chu thusawi bubble-ah a awm
👁️‍🗨	mit chu thusawi bubble-ah a awm
👁‍🗨	mit chu thusawi bubble-ah a awm
🧠	thluak
🦴	ruh
🦷	ha
👅	lei
👄	ka
💋	kiss mark a ni
💘	thinlung chu thal nen
❤️	thinlung sen
❤	thinlung sen
💓	thinlung na tak
💔	thinlung kehchhia
💕	thinlung pahnih
💖	thinlung eng mawi tak
💗	thinlung lo thang lian zel
💙	thinlung blue
💚	green heart
💛	thinlung sen
🧡	orange thinlung a ni
💜	thinlung sen hring
🖤	thinlung dum
💝	thinlung chu ribbon nen
💞	thinlung inher chhuak
💟	thinlung chei dan
❣️	thinlung rit tak tak au thawm
❣	thinlung rit tak tak au thawm
💌	hmangaihna lehkha
💤	zzz
💢	thinrimna chhinchhiahna
💣	bomb a ni
💥	intlansiakna (collision) a ni
💦	thawmhnaw hnim hring hring
💨	tlan chhuak nghal zat
💫	luhai
💬	thusawi balloon a ni
🗨️	left speech bubble a ni
🗨	left speech bubble a ni
🗯️	thinrimna bubble dik tak
🗯	thinrimna bubble dik tak
💭	ngaihtuahna balloon
🕳️	kua
🕳	kua
👓	tarmit
🕶️	sunglass a awm bawk
🕶	sunglass a awm bawk
🥽	goggles a vuah a
🥼	lab coat a ni
👔	necktie a ni
👕	t-shirt a ni
👖	jeans a ni
🧣	awmveh
🧤	kutkawr
🧥	kawrchung
🧦	mawza
👗	thawmhnaw
👘	kimono a ni
👙	bikini
👚	hmeichhe thawmhnaw
👛	pawisa ip
👜	handbag a ni
👝	clutch bag a ni
🛍️	shopping bags te pawh a awm bawk
🛍	shopping bags te pawh a awm bawk
🎒	sikul backpack a ni
👞	mipa kekawrte a ni
👟	tlanna pheikhawk
🥾	hiking boot a ni
🥿	hmeichhe kekawr flat tak a ni
👠	kekawr kekawr sang tak nei
👡	hmeichhe kekawr hak
👢	hmeichhe boot a ni
👑	lallukhum
👒	hmeichhe kawrfual
🎩	top hat a ni
🎓	graduation cap a ni
🧢	billed cap a ni
⛑️	chhanchhuah hna thawktu helmet a ni
⛑	chhanchhuah hna thawktu helmet a ni
📿	tawngtai beads te
💄	lipstick a ni
💍	ri
💎	lunghlu lunghlu
🐵	sakeibaknei hmel
🐒	zawng
🦍	gorilla a ni
🐶	ui hmai
🐕	ui
🐩	poodle a ni
🐺	savawm hmel
🦊	fox hmel
🦝	raccoon tih a ni
🐱	cat hmai
🐈	zawhte
🦁	sakeibaknei hmel
🐯	sakeibaknei hmel
🐅	sakei
🐆	sakeibaknei (leopard) a ni
🐴	sakawr hmai
🐎	sakawr
🦄	unicorn hmel a ni
🦓	zebra tih a ni
🦌	sakhi
🐮	bawng hmai
🐂	bawngpa
🐃	tuiah chuan bawnghnute a awm
🐄	bawng
🐷	vawk hmai
🐖	vawk
🐗	boar tih a ni
🐽	vawk hnar
🐏	ram
🐑	Ewe tawng
🐐	kel
🐪	sanghawngsei
🐫	hump pahnih nei sanghawngsei
🦙	llama tih a ni
🦒	giraffe tih a ni
🐘	sai
🦏	rulhut (rhinoceros) a ni
🦛	hippopotamus tih a ni
🐭	mouse hmai
🐁	sazu
🐀	sazu
🐹	hamster hmai a ni
🐰	rabbit hmel a ni
🐇	sazupui
🐿️	chipmunk a ni
🐿	chipmunk a ni
🦔	hedgehog tih a ni
🦇	bat a ni
🐻	bear hmai
🐨	koala tih a ni
🐼	panda hmel
🦘	kangaroo tih a ni
🦡	badger a ni
🐾	paw print a awm bawk
🦃	sai ar
🐔	ar
🐓	rooster a ni
🐣	hatching chick a ni
🐤	nausen chick a ni
🐥	hma lam hawi nausen chick
🐦	sava
🐧	penguin a ni
🕊️	dove a ni
🕊	dove a ni
🦅	mupui
🦆	varak
🦢	swan tih hi a ni
🦉	chhimbuk
🦚	peacock a ni
🦜	vaki
🐸	frog hmai a ni
🐊	rulhut (crocodile) a ni
🐢	sumsi
🦎	laiking
🐍	rul
🐲	dragon hmel a ni
🐉	dragon a ni
🦕	sauropod tih a ni
🦖	T-Rex chuan a rawn ti a
🐳	spouting whale a ni
🐋	nghapui
🐬	dolphin a ni
🐟	sangha
🐠	tropical-a sangha awmte
🐡	blowfish a ni
🦈	shark a ni
🐙	octopus a ni
🐚	spiral shell a ni
🦀	chakai
🦞	lobster a ni
🦐	kaikuang
🦑	squid
🐌	hnapkhawn
🦋	phengphehlep
🐛	rannung
🐜	ant
🐝	honeybee a ni
🐞	lady beetle a ni
🦗	cricket khelh a ni
🕷️	spider tih hi a ni
🕷	spider tih hi a ni
🕸️	spider web (spider web) a ni
🕸	spider web (spider web) a ni
🦂	scorpion a ni
🦟	rulhut a ni
🦠	microbe a ni
💐	bouquet a ni
🌸	cherry par a ni
💮	pangpar dum
🏵️	rosette a ni
🏵	rosette a ni
🌹	rose a ni
🥀	pangpar hring (wilted flower) a ni
🌺	hibiscus tih hi a ni
🌻	ni zung (sunflower) a ni
🌼	par chhuak
🌷	tulip a ni
🌱	seedling a ni
🌲	thing hring hring (evergreen thing) a ni
🌳	thing hnah hring (deciduous tree) a ni
🌴	palm thing a ni
🌵	cactus a ni
🌾	buhfai chi khat
🌿	herb a ni
☘️	shamrock a ni
☘	shamrock a ni
🍀	hnah pali nei clover
🍁	maple hnah a ni
🍂	hnah tla
🍃	thli tleh karah hnah a rawn inher chhuak
🍇	grape
🍈	melon a ni
🍉	dawnfawh
🍊	tangerine a ni
🍋	lemon a ni
🍌	balhla
🍍	lakhuihthei
🥭	mango a ni
🍎	apple sen a ni
🍏	green apple a ni
🍐	per
🍑	theite
🍒	cherries te pawh a awm
🍓	strawberry
🥝	kiwi rah
🍅	tomato
🥥	coconut a ni
🥑	avocado a ni
🍆	bawkbawn
🥔	alu
🥕	carrot
🌽	ear of corn tih chu a ni
🌶️	pepper lum tak a ni
🌶	pepper lum tak a ni
🥒	fanghma
🥬	hnah hring hring
🥦	broccoli a ni
🍄	pa
🥜	peanuts a ni
🌰	chestnut a ni
🍞	chhangthawp
🥐	croissant hmanga siam a ni
🥖	baguette chhangphut a ni
🥨	pretzel a ni
🥯	bagel a ni
🥞	pancakes a ni
🧀	cheese wedge a ni
🍖	sa ruh chungah
🍗	vawk ke
🥩	sa cut a ni
🥓	bacon a ni
🍔	hamburger a ni
🍟	french fries a ni
🍕	pizza tih a ni
🌭	hot dog a ni
🥪	sandwich a ni
🌮	taco tih a ni
🌯	burrito a ni
🥙	stuffed flatbread a ni
🥚	artui
🍳	chhum
🥘	chaw ei tur pan thuk lo
🍲	chaw ei tur bêl
🥣	bowl chu spoon nen a inzawm a
🥗	green salad a ni
🍿	popcorn a ni
🧂	chi
🥫	ei tur canned a ni
🍱	bento box a ni
🍘	buhfai cracker a ni
🍙	buhfai ball
🍚	buhfai siam a ni
🍛	curry rice a ni
🍜	steaming bowl a ni
🍝	spaghetti a ni
🍠	sweet potato hmin a ni
🍢	oden tih a ni
🍣	sushi tih a ni
🍤	fried shrimp a ni
🍥	sangha cake chu swirl nen a awm
🥮	thla cake a ni
🍡	dango
🥟	dumpling tih a ni
🥠	fortune cookie a ni
🥡	takeout box a ni
🍦	ice cream nem tak a ni
🍧	shaved ice a ni
🍨	vur
🍩	donut a ni
🍪	cookie tih a ni
🎂	birthday cake siam a ni
🍰	shortcake a ni
🧁	cupcake a ni
🥧	pie a ni
🍫	chocolate bar a ni
🍬	candy a ni
🍭	lollipop a ni
🍮	custard a ni
🍯	honey pot
🍼	nausen bottle a ni
🥛	hnute tui glass khat
☕	in tur lum tak a ni
🍵	teacup chu handle nei lo
🍶	aiah
🍾	bottle ah popping cork a awm bawk
🍷	wine glass a ni
🍸	cocktail glass hmanga siam a ni
🍹	tropical-a in tur a ni
🍺	beer mug a ni
🍻	beer mugs clinking tak tak te
🥂	glasses clinking tak tak te
🥃	tumbler glass hmanga siam a ni
🥤	cup chu straw nen a awm
🥢	chopstick te pawh a awm
🍽️	fork leh chemte chu plate nen
🍽	fork leh chemte chu plate nen
🍴	fork leh chemte a ni
🥄	fian
🔪	kitchen knife hmanga siam a ni
🏺	amphora a ni
🌍	globe-ah Europe-Africa a lang
🌎	globe-ah America ram a lang
🌏	khawvel pum puiah Asia-Australia a lang
🌐	globe ah hian meridians a awm
🗺️	khawvel map
🗺	khawvel map
🗾	Japan ram map a ni
🧭	compass hmanga siam a ni
🏔️	vur tlain a khuh tlang
🏔	vur tlain a khuh tlang
⛰️	tlang
⛰	tlang
🌋	tlang kang (volcano) a ni
🗻	mount fuji tih a ni
🏕️	camping neih a ni
🏕	camping neih a ni
🏖️	beach-ah umbrella a awm bawk
🏖	beach-ah umbrella a awm bawk
🏜️	thlaler
🏜	thlaler
🏝️	thlaler thliarkar a ni
🏝	thlaler thliarkar a ni
🏞️	national park a ni
🏞	national park a ni
🏟️	stadium-ah dah a ni
🏟	stadium-ah dah a ni
🏛️	classical building sak a ni
🏛	classical building sak a ni
🏗️	building sak hna thawh a ni
🏗	building sak hna thawh a ni
🧱	brick siam a ni
🏘️	in hrang hrang
🏘	in hrang hrang
🏚️	in chhuahsan tawh
🏚	in chhuahsan tawh
🏠	in
🏡	in leh huan nei
🏢	office building sak a ni
🏣	Japanese post office-ah a awm a
🏤	post office-ah dah a ni
🏥	damdawi in
🏦	luikam
🏨	chawlhbuk
🏩	hmangaihna hotel
🏪	convenience dawr a ni
🏫	sikul
🏬	department dawr a ni
🏭	thil siamna hmunpui
🏯	Japanese kulhpui a ni
🏰	kulh
💒	inneihna
🗼	Tokyo tower a ni
🗽	Zalenna lem (statue of Liberty) a ni
⛪	biakin
🕌	mosque-ah a awm a
🕍	inkhawmna inah
⛩️	shinto hmun thianghlim a ni
⛩	shinto hmun thianghlim a ni
🕋	kaaba
⛲	tuikhuah
⛺	puan in
🌁	chhum zing
🌃	zanah arsi nen
🏙️	khawpui lam hawi
🏙	khawpui lam hawi
🌄	tlang chunga ni chhuah
🌅	ni chhuah
🌆	khawpui boruak tlai lam
🌇	nitla
🌉	zanah bridge siam a ni
♨️	tuikhuah lum tak tak
♨	tuikhuah lum tak tak
🌌	milky way a ni
🎠	carousel sakawr a ni
🎡	ferris wheel a ni
🎢	roller coaster hmanga siam a ni
💈	barber pole a ni
🎪	circus puan in a ni
🚂	locomotive hmanga siam a ni
🚃	rel kawng car a ni
🚄	rel chak tak a ni
🚅	bullet train a ni
🚆	zirtir
🚇	metro
🚈	light rail hmanga siam a ni
🚉	chawlhhmun
🚊	tram hmanga kal a ni
🚝	monorail hmanga kal a ni
🚞	tlanga rel kawng a ni
🚋	tram car a ni
🚌	bus
🚍	bus hmaa lo kal tur
🚎	trolleybus hmanga kal a ni
🚐	minibus a ni
🚑	ambulance hmanga kal a ni
🚒	kangmei chhuahna motor
🚓	police car a ni
🚔	a hmaa police car lo thleng
🚕	taxi a ni
🚖	hmalam pan taxi
🚗	motor hmanga siam a ni
🚘	hmalam panna motor
🚙	sport utility lirthei a ni
🚚	delivery truck a ni
🚛	articulated lorry a ni
🚜	tractor hmanga siam a ni
🚲	thirsakawr
🛴	kick scooter a ni
🛹	skateboard hmanga siam a ni
🛵	motor scooter a ni
🚏	bus chawlhna hmun a ni
🛣️	motor kawng zawh a ni
🛣	motor kawng zawh a ni
🛤️	rel kawng zawh a ni
🛤	rel kawng zawh a ni
🛢️	oil drum hmanga siam a ni
🛢	oil drum hmanga siam a ni
⛽	fuel pump hmanga siam a ni
🚨	police car light a ni
🚥	traffic light atanga chhuak a ni
🚦	traffic light dinglam a ni
🛑	stop tih chhinchhiahna
🚧	buatsaihna
⚓	innghahna
⛵	lawng lian tak a ni
🛶	lawng lian (canoe) a ni
🚤	speedboat hmanga kal a ni
🛳️	passenger lawng a ni
🛳	passenger lawng a ni
⛴️	lawng lian tak a ni
⛴	lawng lian tak a ni
🛥️	motor lawng a ni
🛥	motor lawng a ni
🚢	lawng
✈️	thlawhna a ni
✈	thlawhna a ni
🛩️	thlawhna te tak te
🛩	thlawhna te tak te
🛫	thlawhna atanga chhuak
🛬	thlawhna a lo thleng
💺	thutna
🚁	helicopter hmanga kal a ni
🚟	suspension rel kawng a ni
🚠	tlang cableway hmanga kal theihna
🚡	aerial tramway hmanga kal theihna tur a ni
🛰️	satellite hmanga siam a ni
🛰	satellite hmanga siam a ni
🚀	rocket a ni
🛸	thlawhna saucer a ni
🛎️	bellhop bell a ni
🛎	bellhop bell a ni
🧳	zin bungrua
⌛	hourglass hmanga tihfel a ni
⏳	hourglass tih a ni lo
⌚	thlir
⏰	alarm clock a ni
⏱️	stopwatch a ni
⏱	stopwatch a ni
⏲️	timer darkar a ni
⏲	timer darkar a ni
🕰️	mantelpiece darkar a ni
🕰	mantelpiece darkar a ni
🕛	dar sawm leh pahnih a ni
🕧	sawm leh pahnih leh sawmthum
🕐	dar khat a ni
🕜	pakhat leh sawmthum
🕑	dar hnih a ni
🕝	sawmhnih leh sawmthum vel a ni
🕒	dar thum a ni
🕞	sawmthum leh sawmthum vel a ni
🕓	dar li a ni
🕟	pali leh sawmthum vel a ni
🕔	dar nga a ni tawh
🕠	sawmnga leh sawmthum vel a ni
🕕	dar ruk a ni tawh
🕡	ruk leh sawmthum vel a ni
🕖	dar sarih vel a ni
🕢	sawmsarih leh sawmthum vel a ni
🕗	dar riat vel a ni
🕣	sawmriat leh sawmthum vel a ni
🕘	dar kua a ni tawh
🕤	sawmkua leh sawmthum vel a ni
🕙	dar sawm a ni
🕥	sawm leh sawmthum vel a ni
🕚	dar sawm leh pakhat a ni
🕦	sawm leh pakhat leh sawmthum
🌑	thla thar
🌒	waxing thlasik lai (crescent thla) a ni
🌓	quarter hmasa ber thla a ni
🌔	waxing gibbous thla a ni
🌕	thla bial
🌖	thla gibbous tlahniam zel
🌗	quarter hnuhnung ber thla
🌘	thlasik lai (crescent moon) tlahniam zel
🌙	thla (crescent thla) a ni
🌚	thla thar hmai
🌛	first quarter thla hmai
🌜	last quarter thla hmai
🌡️	thermometer hmanga teh a ni
🌡	thermometer hmanga teh a ni
☀️	ni
☀	ni
🌝	thla bial hmai
🌞	ni leh hmai
⭐	arsi
🌟	arsi eng mawi tak
🌠	shooting star a ni
☁️	chhum
☁	chhum
⛅	ni hnunglam chhum
⛈️	chhum chu êng leh ruah sur nen
⛈	chhum chu êng leh ruah sur nen
🌤️	ni hnuaiah chhum te tak te
🌤	ni hnuaiah chhum te tak te
🌥️	ni hnuaiah chhum lian tak
🌥	ni hnuaiah chhum lian tak
🌦️	ruah sur chhum hnung lama ni
🌦	ruah sur chhum hnung lama ni
🌧️	chhum leh ruah sur
🌧	chhum leh ruah sur
🌨️	chhum leh vur
🌨	chhum leh vur
🌩️	chhum leh lightning
🌩	chhum leh lightning
🌪️	thlipui (tornado) a ni
🌪	thlipui (tornado) a ni
🌫️	tiauchhum
🌫	tiauchhum
🌬️	thli hmai
🌬	thli hmai
🌀	cyclone a ni
🌈	rainbow a ni
🌂	umbrella khar a ni
☂️	nihliap
☂	nihliap
☔	umbrella ruahtui tla te nen
⛱️	umbrella chu leiah a awm
⛱	umbrella chu leiah a awm
⚡	voltage sang tak a ni
❄️	vur tla a ni
❄	vur tla a ni
☃️	snowman
☃	snowman
⛄	snowman vur nei lo
☄️	comet a ni
☄	comet a ni
🔥	mei
💧	droplet a ni
🌊	tui thlipui
🎃	jack-o-lantern tih a ni
🎄	Krismas thing phun a ni
🎆	meipui alh a ni
🎇	sparkler a ni
🧨	meipui alh chhuak
✨	a eng chhuak
🎈	balloon a ni
🎉	party popper a ni
🎊	confetti ball a ni
🎋	tanabata thing a ni
🎍	pine cheimawina a ni
🎎	Japanese doll te an ni
🎏	carp streamer a ni
🎐	thli a tleh a
🎑	thla en inkhawm neih a ni
🧧	envelope sen a ni
🎀	ribbon a ni
🎁	thilpek phum a ni
🎗️	hriat nawn tirna ribbon
🎗	hriat nawn tirna ribbon
🎟️	admission ticket a awm bawk
🎟	admission ticket a awm bawk
🎫	ticket lak a ni
🎖️	sipai medal lak a ni
🎖	sipai medal lak a ni
🏆	trophy pek a ni
🏅	sports medal lak a ni
🥇	1-na a ni
🥈	2-na a ni
🥉	3-na a ni
⚽	soccer ball khelh a ni
⚾	baseball a ni
🥎	softball khelh a ni
🏀	basketball khelh a ni
🏐	volleyball khelh a ni
🏈	american football khelh a ni
🏉	rugby football khelh a ni
🎾	tennis a ni
🥏	flying disc a ni
🎳	bowling khelh a ni
🏏	cricket khelh a ni
🏑	field hockey khelh a ni
🏒	ice hockey khelh a ni
🥍	lacrosse khelh a ni
🏓	ping pong a ni
🏸	badminton khelh a ni
🥊	boxing glove hmanga khelh a ni
🥋	martial arts uniform a ni
🥅	goal net a ni
⛳	flag in hole a awm
⛸️	ice skate a ni
⛸	ice skate a ni
🎣	sangha man theihna pole
🎽	tlan kawr kawr
🎿	skis te pawh a awm
🛷	sled a ni
🥌	curling lung a ni
🎯	direct hit a ni
🎱	pool 8 ball a ni
🔮	crystal ball a ni
🧿	nazar amulet a ni
🎮	video game khelh a ni
🕹️	joystick hmanga siam a ni
🕹	joystick hmanga siam a ni
🎰	slot machine hmanga siam a ni
🎲	game thi
🧩	jigsaw tih a ni
🧸	teddy bear a ni
♠️	spade suit a ni
♠	spade suit a ni
♥️	thinlung suit a ni
♥	thinlung suit a ni
♦️	diamond suit hmanga siam a ni
♦	diamond suit hmanga siam a ni
♣️	club suit a ni
♣	club suit a ni
♟️	chess pawn a ni
♟	chess pawn a ni
